sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h1,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h1,4,0.0582,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h1,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h1,4,0.0588,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h2,4,0.0609,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h2,4,0.0576,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h2,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h2,4,0.0579,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h2,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,250,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,250,imbs_glcs,h2,4,0.0582,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h2,4,0.0581,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h5,4,0.0615,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h5,4,0.0615,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h5,4,0.0704,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h5,4,0.0616,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h5,2,0.0010,True
