sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_7.txt,1,beam_search_glcs,h8,1,0.0011,True
sigma-2,mglcs_10_100_2_7.txt,1,imbs_glcs,h8,3,0.0505,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h1,3,0.0470,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h2,3,0.0469,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h5,3,0.0562,True
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,h8,1,0.0021,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,h8,3,0.0519,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h1,3,0.0475,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h2,3,0.0556,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h5,3,0.0463,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,h8,1,0.0071,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,h8,3,0.0517,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h1,3,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h1,5,0.0797,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h2,5,0.0752,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h5,3,0.0000,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h5,5,0.0906,True
sigma-2,mglcs_10_200_2_0.txt,1,beam_search_glcs,h8,1,0.0051,True
sigma-2,mglcs_10_200_2_0.txt,1,imbs_glcs,h8,5,0.0830,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h1,5,0.0809,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h2,4,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h2,4,0.0767,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h5,5,0.1033,True
sigma-2,mglcs_10_200_2_1.txt,1,beam_search_glcs,h8,4,0.0070,True
sigma-2,mglcs_10_200_2_1.txt,1,imbs_glcs,h8,4,0.0811,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h1,4,0.0865,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h2,3,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h2,4,0.0850,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h5,4,0.0779,True
sigma-2,mglcs_10_200_2_2.txt,1,beam_search_glcs,h8,2,0.0013,True
sigma-2,mglcs_10_200_2_2.txt,1,imbs_glcs,h8,4,0.0918,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h1,4,0.0935,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h2,4,0.0792,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h5,2,0.0056,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h5,4,0.1033,True
sigma-2,mglcs_10_200_2_3.txt,1,beam_search_glcs,h8,2,0.0057,True
sigma-2,mglcs_10_200_2_3.txt,1,imbs_glcs,h8,4,0.0902,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h1,6,0.0830,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h2,6,0.0701,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h5,8,0.0822,True
sigma-2,mglcs_10_200_2_4.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_200_2_4.txt,1,imbs_glcs,h8,6,0.1016,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h1,1,0.0003,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h1,5,0.0860,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h2,6,0.0802,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h5,5,0.0920,True
sigma-2,mglcs_10_200_2_5.txt,1,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_200_2_5.txt,1,imbs_glcs,h8,5,0.0922,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h1,6,0.0730,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h2,7,0.0919,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h5,7,0.1017,True
sigma-2,mglcs_10_200_2_6.txt,1,beam_search_glcs,h8,1,0.0050,True
sigma-2,mglcs_10_200_2_6.txt,1,imbs_glcs,h8,7,0.0937,True
sigma-2,mglcs_10_200_2_7.txt,1,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,1,imbs_glcs,h1,4,0.0821,True
sigma-2,mglcs_10_200_2_7.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_200_2_7.txt,1,imbs_glcs,h2,5,0.0837,True
sigma-2,mglcs_10_200_2_7.txt,1,beam_search_glcs,h5,2,0.0010,True
sigma-2,mglcs_10_200_2_7.txt,1,imbs_glcs,h5,4,0.0869,True
sigma-2,mglcs_10_200_2_7.txt,1,beam_search_glcs,h8,2,0.0061,True
sigma-2,mglcs_10_200_2_7.txt,1,imbs_glcs,h8,5,0.0904,True
sigma-2,mglcs_10_200_2_8.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_200_2_8.txt,1,imbs_glcs,h1,7,0.0852,True
sigma-2,mglcs_10_200_2_8.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_200_2_8.txt,1,imbs_glcs,h2,7,0.0860,True
sigma-2,mglcs_10_200_2_8.txt,1,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_200_2_8.txt,1,imbs_glcs,h5,7,0.0918,True
sigma-2,mglcs_10_200_2_8.txt,1,beam_search_glcs,h8,3,0.0062,True
sigma-2,mglcs_10_200_2_8.txt,1,imbs_glcs,h8,5,0.0893,True
sigma-2,mglcs_10_200_2_9.txt,1,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_200_2_9.txt,1,imbs_glcs,h1,3,0.0815,True
sigma-2,mglcs_10_200_2_9.txt,1,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_200_2_9.txt,1,imbs_glcs,h2,3,0.0821,True
sigma-2,mglcs_10_200_2_9.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_200_2_9.txt,1,imbs_glcs,h5,3,0.0861,True
sigma-2,mglcs_10_200_2_9.txt,1,beam_search_glcs,h8,1,0.0056,True
sigma-2,mglcs_10_200_2_9.txt,1,imbs_glcs,h8,3,0.0877,True
sigma-2,mglcs_10_50_2_0.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,1,imbs_glcs,h1,4,0.0327,True
sigma-2,mglcs_10_50_2_0.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,1,imbs_glcs,h2,4,0.0334,True
sigma-2,mglcs_10_50_2_0.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_0.txt,1,imbs_glcs,h5,4,0.0341,True
sigma-2,mglcs_10_50_2_0.txt,1,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_50_2_0.txt,1,imbs_glcs,h8,3,0.0340,True
sigma-2,mglcs_10_50_2_1.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,1,imbs_glcs,h1,5,0.0325,True
sigma-2,mglcs_10_50_2_1.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,1,imbs_glcs,h2,4,0.0344,True
sigma-2,mglcs_10_50_2_1.txt,1,beam_search_glcs,h5,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,1,imbs_glcs,h5,5,0.0361,True
sigma-2,mglcs_10_50_2_1.txt,1,beam_search_glcs,h8,2,0.0000,True
sigma-2,mglcs_10_50_2_1.txt,1,imbs_glcs,h8,4,0.0344,True
sigma-2,mglcs_10_50_2_2.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,1,imbs_glcs,h1,4,0.0338,True
sigma-2,mglcs_10_50_2_2.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,1,imbs_glcs,h2,4,0.0345,True
sigma-2,mglcs_10_50_2_2.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,1,imbs_glcs,h5,4,0.0365,True
sigma-2,mglcs_10_50_2_2.txt,1,beam_search_glcs,h8,2,0.0000,True
sigma-2,mglcs_10_50_2_2.txt,1,imbs_glcs,h8,3,0.0332,True
sigma-2,mglcs_10_50_2_3.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,1,imbs_glcs,h1,4,0.0330,True
sigma-2,mglcs_10_50_2_3.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,1,imbs_glcs,h2,4,0.0334,True
sigma-2,mglcs_10_50_2_3.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,1,imbs_glcs,h5,4,0.0350,True
sigma-2,mglcs_10_50_2_3.txt,1,beam_search_glcs,h8,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,1,imbs_glcs,h8,2,0.0341,True
sigma-2,mglcs_10_50_2_4.txt,1,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,1,imbs_glcs,h1,4,0.0330,True
sigma-2,mglcs_10_50_2_4.txt,1,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,1,imbs_glcs,h2,4,0.0324,True
sigma-2,mglcs_10_50_2_4.txt,1,beam_search_glcs,h5,3,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,1,imbs_glcs,h5,4,0.0345,True
sigma-2,mglcs_10_50_2_4.txt,1,beam_search_glcs,h8,3,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,1,imbs_glcs,h8,4,0.0330,True
sigma-2,mglcs_10_50_2_5.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,1,imbs_glcs,h1,6,0.0340,True
sigma-2,mglcs_10_50_2_5.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,1,imbs_glcs,h2,5,0.0325,True
sigma-2,mglcs_10_50_2_5.txt,1,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_50_2_5.txt,1,imbs_glcs,h5,5,0.0340,True
