m,n,sigma,0.0,0.00,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.0
2,50,2,37.2,37.2,37.2,37.3,37.3,37.3,37.2,37.4,37.3,37.3,37.3,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7
2,50,4,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.2,30.2,30.1,30.1
2,100,2,71.1,71.1,71.1,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.8,72.9,72.9,72.8,72.9,72.7,72.8,72.8,72.9,72.8,72.7
2,100,4,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.0,62.0,61.9,62.1,61.8,61.3,61.3,61.1,60.8,60.6,60.5,60.2
2,200,2,136.1,136.1,134.8,141.5,141.3,140.8,142.1,142.0,141.5,142.1,142.2,140.6,141.1,140.7,141.0,140.8,140.7,140.8,140.4,140.0,139.8,139.3
2,200,4,123.1,123.1,123.5,123.7,124.0,124.8,125.3,125.2,125.4,125.6,125.9,125.9,125.8,125.8,125.6,124.7,123.8,123.0,122.5,121.1,122.5,121.4
2,500,2,255.2,255.2,265.5,298.8,298.9,296.8,298.3,295.5,299.7,300.8,301.3,291.6,293.2,299.5,295.8,298.5,290.6,298.0,294.8,301.2,302.9,300.4
2,500,4,282.2,282.2,286.4,292.6,288.6,290.4,300.2,302.8,304.7,305.6,306.1,310.5,310.8,310.9,310.5,307.9,303.0,301.8,297.4,291.1,289.8,287.9
3,50,2,31.1,31.1,31.1,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2
3,50,4,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9
3,100,2,57.8,57.8,57.8,58.3,58.3,58.3,58.3,58.2,58.2,58.2,58.2,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
3,100,4,47.3,47.3,47.3,47.2,47.9,47.9,48.2,48.2,48.1,48.1,48.1,48.7,48.7,48.7,48.7,48.7,48.6,48.5,48.5,48.4,48.3,48.3
3,200,2,105.0,105.0,105.0,106.6,106.6,106.6,106.7,106.7,106.7,106.6,106.8,106.8,106.9,106.9,106.9,106.9,106.9,106.9,106.8,104.9,106.8,104.7
3,200,4,96.22222222222223,96.7,96.7,96.9,97.1,97.3,97.5,97.4,97.8,97.7,97.8,97.9,98.1,97.8,97.8,97.5,97.4,97.2,96.6,96.5,96.3,95.9
3,500,2,141.4,157.2,157.3,155.4,157.2,157.6,157.7,158.3,157.8,157.2,157.7,156.5,152.1,158.0,157.3,156.4,153.5,156.0,156.8,153.0,156.9,155.5
3,500,4,,227.0,227.0,228.5,230.5,230.4,232.0,231.5,232.9,233.3,234.0,237.1,238.4,238.1,234.8,236.8,234.6,234.4,231.4,229.3,225.4,224.6
5,50,2,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
5,50,4,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3
5,100,2,32.6,32.6,32.6,32.6,32.5,32.5,32.6,32.6,32.6,32.6,32.5,32.9,32.9,32.6,32.6,32.6,32.5,32.5,32.6,32.6,32.5,32.5
5,100,4,28.0,28.0,27.6,27.4,28.0,27.5,28.0,27.9,27.9,27.7,27.8,27.7,27.5,28.0,27.4,28.0,28.1,28.0,28.0,28.1,27.9,27.5
