sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h1,5,0.0424,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h1,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h1,4,0.1375,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h1,4,0.1379,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h1,4,0.1395,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h1,4,0.0187,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,500,imbs_glcs,h1,4,0.0187,True
sigma-2,mglcs_10_100_2_1.txt,10000,beam_search_glcs,h1,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,1,imbs_glcs,h2,4,0.0064,True
sigma-2,mglcs_10_100_2_1.txt,5,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,5,imbs_glcs,h2,6,0.0467,True
sigma-2,mglcs_10_100_2_1.txt,10,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,10,imbs_glcs,h2,4,0.1401,True
sigma-2,mglcs_10_100_2_1.txt,20,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,20,imbs_glcs,h2,4,0.1427,True
sigma-2,mglcs_10_100_2_1.txt,50,beam_search_glcs,h2,2,0.0000,True
sigma-2,mglcs_10_100_2_1.txt,50,imbs_glcs,h2,4,0.1431,True
sigma-2,mglcs_10_100_2_1.txt,100,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_100_2_1.txt,100,imbs_glcs,h2,4,0.0183,True
sigma-2,mglcs_10_100_2_1.txt,500,beam_search_glcs,h2,2,0.0000,True
