sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,new_h8,8,0.1359,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,new_h8,5,0.0175,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,new_h8,1,0.0025,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,new_h8,5,0.0190,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,new_h8,5,0.0179,True
sigma-2,mglcs_10_100_2_3.txt,10000,beam_search_glcs,new_h8,1,0.0024,True
sigma-2,mglcs_10_100_2_4.txt,1,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,1,imbs_glcs,new_h8,5,0.0080,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,new_h8,9,0.0511,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,new_h8,6,0.1687,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,new_h8,1,0.0016,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,new_h8,6,0.1582,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,new_h8,1,0.0025,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,new_h8,6,0.1597,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,new_h8,6,0.0199,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,new_h8,6,0.0203,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,new_h8,6,0.0199,True
sigma-2,mglcs_10_100_2_4.txt,10000,beam_search_glcs,new_h8,1,0.0012,True
sigma-2,mglcs_10_100_2_5.txt,1,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_5.txt,1,imbs_glcs,new_h8,3,0.0086,True
sigma-2,mglcs_10_100_2_5.txt,5,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_5.txt,5,imbs_glcs,new_h8,6,0.0636,True
sigma-2,mglcs_10_100_2_5.txt,10,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_5.txt,10,imbs_glcs,new_h8,6,0.1752,True
sigma-2,mglcs_10_100_2_5.txt,20,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_5.txt,20,imbs_glcs,new_h8,6,0.1801,True
sigma-2,mglcs_10_100_2_5.txt,50,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,50,imbs_glcs,new_h8,6,0.1688,True
sigma-2,mglcs_10_100_2_5.txt,100,beam_search_glcs,new_h8,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,100,imbs_glcs,new_h8,4,0.0241,True
sigma-2,mglcs_10_100_2_5.txt,250,beam_search_glcs,new_h8,1,0.0122,True
sigma-2,mglcs_10_100_2_5.txt,250,imbs_glcs,new_h8,4,0.0230,True
sigma-2,mglcs_10_100_2_5.txt,500,beam_search_glcs,new_h8,1,0.0036,True
