sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_10_100_2_8.txt,10,h2,1.0,1.0,0.0,0.0004,0.0322,0.0318
sigma-2,mglcs_10_100_2_8.txt,10,h3,1.0,1.0,0.0,0.0004,0.034,0.033600000000000005
sigma-2,mglcs_10_100_2_8.txt,10,h4,1.0,1.0,0.0,0.0004,0.0347,0.034300000000000004
sigma-2,mglcs_10_100_2_8.txt,10,h5,1.0,1.0,0.0,0.0005,0.0494,0.0489
sigma-2,mglcs_10_100_2_8.txt,10,h6,1.0,1.0,0.0,0.0003,0.0342,0.0339
sigma-2,mglcs_10_100_2_8.txt,10,h7,1.0,1.0,0.0,0.0003,0.0324,0.0321
sigma-2,mglcs_10_100_2_9.txt,10,h1,1.0,1.0,0.0,0.0004,0.0303,0.0299
sigma-2,mglcs_10_100_2_9.txt,10,h2,1.0,1.0,0.0,0.0004,0.0367,0.036300000000000006
sigma-2,mglcs_10_100_2_9.txt,10,h3,1.0,1.0,0.0,0.0003,0.0346,0.0343
sigma-2,mglcs_10_100_2_9.txt,10,h4,1.0,1.0,0.0,0.0003,0.038,0.0377
sigma-2,mglcs_10_100_2_9.txt,10,h5,1.0,1.0,0.0,0.0006,0.0494,0.048799999999999996
sigma-2,mglcs_10_100_2_9.txt,10,h6,1.0,1.0,0.0,0.0004,0.0332,0.0328
sigma-2,mglcs_10_100_2_9.txt,10,h7,1.0,1.0,0.0,0.0004,0.036,0.0356
sigma-2,mglcs_10_200_2_0.txt,10,h1,4.0,4.0,0.0,0.0019,0.1455,0.14359999999999998
sigma-2,mglcs_10_200_2_0.txt,10,h2,4.0,3.0,-1.0,0.0013,0.061,0.059699999999999996
sigma-2,mglcs_10_200_2_0.txt,10,h3,4.0,4.0,0.0,0.0012,0.1341,0.1329
sigma-2,mglcs_10_200_2_0.txt,10,h4,4.0,4.0,0.0,0.0013,0.1325,0.1312
sigma-2,mglcs_10_200_2_0.txt,10,h5,4.0,4.0,0.0,0.002,0.1877,0.1857
sigma-2,mglcs_10_200_2_0.txt,10,h6,4.0,4.0,0.0,0.0012,0.1401,0.1389
sigma-2,mglcs_10_200_2_0.txt,10,h7,4.0,4.0,0.0,0.0013,0.0574,0.0561
sigma-2,mglcs_10_200_2_1.txt,10,h1,4.0,4.0,0.0,0.0009,0.1015,0.10060000000000001
sigma-2,mglcs_10_200_2_1.txt,10,h2,4.0,4.0,0.0,0.001,0.1297,0.1287
sigma-2,mglcs_10_200_2_1.txt,10,h3,4.0,4.0,0.0,0.001,0.0958,0.0948
sigma-2,mglcs_10_200_2_1.txt,10,h4,4.0,4.0,0.0,0.001,0.1003,0.0993
sigma-2,mglcs_10_200_2_1.txt,10,h5,4.0,4.0,0.0,0.0015,0.096,0.0945
sigma-2,mglcs_10_200_2_1.txt,10,h6,4.0,4.0,0.0,0.0009,0.1005,0.09960000000000001
sigma-2,mglcs_10_200_2_1.txt,10,h7,4.0,4.0,0.0,0.001,0.1223,0.1213
sigma-2,mglcs_10_200_2_2.txt,10,h1,3.0,3.0,0.0,0.001,0.0997,0.0987
sigma-2,mglcs_10_200_2_2.txt,10,h2,3.0,3.0,0.0,0.001,0.1005,0.0995
sigma-2,mglcs_10_200_2_2.txt,10,h3,3.0,3.0,0.0,0.0009,0.0987,0.0978
sigma-2,mglcs_10_200_2_2.txt,10,h4,3.0,3.0,0.0,0.001,0.1869,0.1859
sigma-2,mglcs_10_200_2_2.txt,10,h5,3.0,3.0,0.0,0.0026,0.1413,0.13870000000000002
sigma-2,mglcs_10_200_2_2.txt,10,h6,3.0,3.0,0.0,0.001,0.0963,0.0953
sigma-2,mglcs_10_200_2_2.txt,10,h7,3.0,3.0,0.0,0.001,0.1027,0.1017
sigma-2,mglcs_10_200_2_3.txt,10,h1,2.0,2.0,0.0,0.0008,0.0827,0.0819
sigma-2,mglcs_10_200_2_3.txt,10,h2,2.0,2.0,0.0,0.0008,0.0859,0.08510000000000001
sigma-2,mglcs_10_200_2_3.txt,10,h3,2.0,2.0,0.0,0.0008,0.086,0.0852
sigma-2,mglcs_10_200_2_3.txt,10,h4,2.0,2.0,0.0,0.0008,0.0881,0.0873
sigma-2,mglcs_10_200_2_3.txt,10,h5,2.0,2.0,0.0,0.0013,0.1301,0.1288
sigma-2,mglcs_10_200_2_3.txt,10,h6,2.0,2.0,0.0,0.0009,0.0832,0.0823
sigma-2,mglcs_10_200_2_3.txt,10,h7,2.0,2.0,0.0,0.0008,0.0836,0.0828
sigma-2,mglcs_10_200_2_4.txt,10,h1,2.0,2.0,0.0,0.0006,0.0716,0.071
sigma-2,mglcs_10_200_2_4.txt,10,h2,2.0,2.0,0.0,0.0007,0.0816,0.0809
sigma-2,mglcs_10_200_2_4.txt,10,h3,2.0,2.0,0.0,0.0006,0.0684,0.0678
sigma-2,mglcs_10_200_2_4.txt,10,h4,2.0,2.0,0.0,0.0007,0.0774,0.07669999999999999
sigma-2,mglcs_10_200_2_4.txt,10,h5,2.0,2.0,0.0,0.001,0.0829,0.0819
sigma-2,mglcs_10_200_2_4.txt,10,h6,2.0,2.0,0.0,0.0007,0.0687,0.06799999999999999
sigma-2,mglcs_10_200_2_4.txt,10,h7,2.0,2.0,0.0,0.0007,0.0799,0.07919999999999999
sigma-2,mglcs_10_200_2_5.txt,10,h1,1.0,1.0,0.0,0.0005,0.0549,0.0544
sigma-2,mglcs_10_200_2_5.txt,10,h2,1.0,1.0,0.0,0.0005,0.0554,0.0549
sigma-2,mglcs_10_200_2_5.txt,10,h3,1.0,1.0,0.0,0.0005,0.0555,0.055
sigma-2,mglcs_10_200_2_5.txt,10,h4,1.0,1.0,0.0,0.0005,0.054,0.0535
sigma-2,mglcs_10_200_2_5.txt,10,h5,1.0,1.0,0.0,0.0008,0.0769,0.0761
sigma-2,mglcs_10_200_2_5.txt,10,h6,1.0,1.0,0.0,0.0005,0.0577,0.0572
sigma-2,mglcs_10_200_2_5.txt,10,h7,1.0,1.0,0.0,0.0005,0.0573,0.056799999999999996
sigma-2,mglcs_10_200_2_6.txt,10,h1,1.0,1.0,0.0,0.0005,0.0561,0.0556
sigma-2,mglcs_10_200_2_6.txt,10,h2,1.0,1.0,0.0,0.0005,0.053,0.0525
sigma-2,mglcs_10_200_2_6.txt,10,h3,1.0,1.0,0.0,0.0005,0.0596,0.0591
sigma-2,mglcs_10_200_2_6.txt,10,h4,1.0,1.0,0.0,0.0007,0.0548,0.0541
sigma-2,mglcs_10_200_2_6.txt,10,h5,1.0,1.0,0.0,0.0009,0.0758,0.07490000000000001
sigma-2,mglcs_10_200_2_6.txt,10,h6,1.0,1.0,0.0,0.0006,0.0535,0.052899999999999996
sigma-2,mglcs_10_200_2_6.txt,10,h7,1.0,1.0,0.0,0.0007,0.0533,0.0526
sigma-2,mglcs_10_200_2_7.txt,10,h1,4.0,4.0,0.0,0.0014,0.1473,0.14589999999999997
sigma-2,mglcs_10_200_2_7.txt,10,h2,4.0,4.0,0.0,0.0014,0.0914,0.09
sigma-2,mglcs_10_200_2_7.txt,10,h3,4.0,4.0,0.0,0.0014,0.1347,0.13329999999999997
sigma-2,mglcs_10_200_2_7.txt,10,h4,4.0,4.0,0.0,0.0016,0.1435,0.1419
sigma-2,mglcs_10_200_2_7.txt,10,h5,4.0,4.0,0.0,0.0023,0.2318,0.2295
sigma-2,mglcs_10_200_2_7.txt,10,h6,4.0,4.0,0.0,0.0014,0.1484,0.147
sigma-2,mglcs_10_200_2_7.txt,10,h7,4.0,4.0,0.0,0.0014,0.0925,0.0911
sigma-2,mglcs_10_200_2_8.txt,10,h1,3.0,3.0,0.0,0.0008,0.0834,0.0826
sigma-2,mglcs_10_200_2_8.txt,10,h2,3.0,3.0,0.0,0.0008,0.0711,0.0703
sigma-2,mglcs_10_200_2_8.txt,10,h3,3.0,3.0,0.0,0.0008,0.0839,0.08310000000000001
sigma-2,mglcs_10_200_2_8.txt,10,h4,3.0,3.0,0.0,0.0009,0.0879,0.08700000000000001
sigma-2,mglcs_10_200_2_8.txt,10,h5,3.0,3.0,0.0,0.0013,0.1185,0.1172
sigma-2,mglcs_10_200_2_8.txt,10,h6,3.0,3.0,0.0,0.0008,0.0859,0.08510000000000001
sigma-2,mglcs_10_200_2_8.txt,10,h7,3.0,3.0,0.0,0.0009,0.0734,0.07250000000000001
sigma-2,mglcs_10_200_2_9.txt,10,h1,1.0,1.0,0.0,0.0005,0.0526,0.0521
sigma-2,mglcs_10_200_2_9.txt,10,h2,1.0,1.0,0.0,0.0006,0.0538,0.0532
sigma-2,mglcs_10_200_2_9.txt,10,h3,1.0,1.0,0.0,0.0005,0.0534,0.0529
sigma-2,mglcs_10_200_2_9.txt,10,h4,1.0,1.0,0.0,0.0006,0.0548,0.0542
sigma-2,mglcs_10_200_2_9.txt,10,h5,1.0,1.0,0.0,0.0008,0.0748,0.07400000000000001
sigma-2,mglcs_10_200_2_9.txt,10,h6,1.0,1.0,0.0,0.0005,0.053,0.0525
sigma-2,mglcs_10_200_2_9.txt,10,h7,1.0,1.0,0.0,0.0005,0.0524,0.0519
sigma-2,mglcs_10_50_2_0.txt,10,h1,1.0,1.0,0.0,0.0002,0.0185,0.0183
sigma-2,mglcs_10_50_2_0.txt,10,h2,1.0,1.0,0.0,0.0003,0.0182,0.0179
sigma-2,mglcs_10_50_2_0.txt,10,h3,1.0,1.0,0.0,0.0002,0.0195,0.0193
sigma-2,mglcs_10_50_2_0.txt,10,h4,1.0,1.0,0.0,0.0002,0.022,0.0218
sigma-2,mglcs_10_50_2_0.txt,10,h5,1.0,1.0,0.0,0.0004,0.0322,0.0318
sigma-2,mglcs_10_50_2_0.txt,10,h6,1.0,1.0,0.0,0.0003,0.0186,0.018299999999999997
sigma-2,mglcs_10_50_2_0.txt,10,h7,1.0,1.0,0.0,0.0003,0.0198,0.0195
sigma-2,mglcs_10_50_2_1.txt,10,h1,2.0,2.0,0.0,0.0004,0.0326,0.0322
sigma-2,mglcs_10_50_2_1.txt,10,h2,2.0,2.0,0.0,0.0005,0.0337,0.0332
sigma-2,mglcs_10_50_2_1.txt,10,h3,2.0,2.0,0.0,0.0004,0.0317,0.0313
sigma-2,mglcs_10_50_2_1.txt,10,h4,2.0,2.0,0.0,0.0004,0.0342,0.033800000000000004
sigma-2,mglcs_10_50_2_1.txt,10,h5,2.0,2.0,0.0,0.0007,0.0541,0.0534
sigma-2,mglcs_10_50_2_1.txt,10,h6,2.0,2.0,0.0,0.0004,0.0321,0.0317
sigma-2,mglcs_10_50_2_1.txt,10,h7,2.0,2.0,0.0,0.0004,0.0329,0.0325
sigma-2,mglcs_10_50_2_2.txt,10,h1,2.0,2.0,0.0,0.0003,0.023,0.022699999999999998
sigma-2,mglcs_10_50_2_2.txt,10,h2,2.0,2.0,0.0,0.0004,0.0257,0.0253
sigma-2,mglcs_10_50_2_2.txt,10,h3,2.0,2.0,0.0,0.0003,0.0265,0.026199999999999998
sigma-2,mglcs_10_50_2_2.txt,10,h4,2.0,2.0,0.0,0.0004,0.0301,0.029699999999999997
sigma-2,mglcs_10_50_2_2.txt,10,h5,2.0,2.0,0.0,0.0006,0.0645,0.0639
sigma-2,mglcs_10_50_2_2.txt,10,h6,2.0,2.0,0.0,0.0005,0.0451,0.0446
sigma-2,mglcs_10_50_2_2.txt,10,h7,2.0,2.0,0.0,0.0005,0.0397,0.0392
sigma-2,mglcs_10_50_2_3.txt,10,h1,1.0,1.0,0.0,0.0003,0.0242,0.023899999999999998
sigma-2,mglcs_10_50_2_3.txt,10,h2,1.0,1.0,0.0,0.0003,0.0279,0.0276
sigma-2,mglcs_10_50_2_3.txt,10,h3,1.0,1.0,0.0,0.0003,0.0279,0.0276
sigma-2,mglcs_10_50_2_3.txt,10,h4,1.0,1.0,0.0,0.0003,0.0337,0.0334
sigma-2,mglcs_10_50_2_3.txt,10,h5,1.0,1.0,0.0,0.0007,0.0459,0.045200000000000004
sigma-2,mglcs_10_50_2_3.txt,10,h6,1.0,1.0,0.0,0.0004,0.0274,0.027
sigma-2,mglcs_10_50_2_3.txt,10,h7,1.0,1.0,0.0,0.0003,0.0254,0.025099999999999997
sigma-2,mglcs_10_50_2_4.txt,10,h1,3.0,3.0,0.0,0.0005,0.0395,0.039
sigma-2,mglcs_10_50_2_4.txt,10,h2,3.0,3.0,0.0,0.0004,0.0405,0.040100000000000004
sigma-2,mglcs_10_50_2_4.txt,10,h3,3.0,3.0,0.0,0.0004,0.0365,0.0361
sigma-2,mglcs_10_50_2_4.txt,10,h4,3.0,3.0,0.0,0.0004,0.0395,0.0391
sigma-2,mglcs_10_50_2_4.txt,10,h5,3.0,3.0,0.0,0.0008,0.0708,0.07
sigma-2,mglcs_10_50_2_4.txt,10,h6,3.0,3.0,0.0,0.0004,0.0367,0.036300000000000006
sigma-2,mglcs_10_50_2_4.txt,10,h7,3.0,3.0,0.0,0.0003,0.0368,0.0365
sigma-2,mglcs_10_50_2_5.txt,10,h1,1.0,1.0,0.0,0.0002,0.02,0.0198
sigma-2,mglcs_10_50_2_5.txt,10,h2,1.0,1.0,0.0,0.0003,0.0185,0.018199999999999997
sigma-2,mglcs_10_50_2_5.txt,10,h3,1.0,1.0,0.0,0.0003,0.0193,0.019
sigma-2,mglcs_10_50_2_5.txt,10,h4,1.0,1.0,0.0,0.0003,0.0218,0.0215
sigma-2,mglcs_10_50_2_5.txt,10,h5,1.0,1.0,0.0,0.0004,0.0295,0.029099999999999997
