sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_2_100_2_5.txt,10,h6,3.0,3.0,0.0,0.0002,0.0138,0.0136
sigma-2,mglcs_2_100_2_5.txt,10,h7,3.0,3.0,0.0,0.0002,0.0139,0.013699999999999999
sigma-2,mglcs_2_100_2_6.txt,10,h1,56.0,75.0,19.0,0.0114,1.0927,1.0813
sigma-2,mglcs_2_100_2_6.txt,10,h2,71.0,72.0,1.0,0.0133,1.3762,1.3629
sigma-2,mglcs_2_100_2_6.txt,10,h3,67.0,74.0,7.0,0.0116,1.06,1.0484
sigma-2,mglcs_2_100_2_6.txt,10,h4,56.0,76.0,20.0,0.0106,1.0582,1.0476
sigma-2,mglcs_2_100_2_6.txt,10,h5,73.0,75.0,2.0,0.0176,1.2839,1.2663
sigma-2,mglcs_2_100_2_6.txt,10,h6,74.0,76.0,2.0,0.0085,0.5886,0.5801000000000001
sigma-2,mglcs_2_100_2_6.txt,10,h7,72.0,73.0,1.0,0.0097,0.9488,0.9390999999999999
sigma-2,mglcs_2_100_2_7.txt,10,h1,14.0,14.0,0.0,0.0011,0.1022,0.1011
sigma-2,mglcs_2_100_2_7.txt,10,h2,14.0,14.0,0.0,0.0012,0.126,0.1248
sigma-2,mglcs_2_100_2_7.txt,10,h3,14.0,14.0,0.0,0.001,0.1078,0.1068
sigma-2,mglcs_2_100_2_7.txt,10,h4,14.0,14.0,0.0,0.0011,0.1026,0.10149999999999999
sigma-2,mglcs_2_100_2_7.txt,10,h5,14.0,14.0,0.0,0.0019,0.1852,0.1833
sigma-2,mglcs_2_100_2_7.txt,10,h6,14.0,14.0,0.0,0.0011,0.1041,0.103
sigma-2,mglcs_2_100_2_7.txt,10,h7,14.0,14.0,0.0,0.0012,0.1261,0.12489999999999998
sigma-2,mglcs_2_100_2_8.txt,10,h1,72.0,72.0,0.0,0.0042,0.1459,0.1417
sigma-2,mglcs_2_100_2_8.txt,10,h2,72.0,22.0,-50.0,0.004,0.075,0.071
sigma-2,mglcs_2_100_2_8.txt,10,h3,72.0,66.0,-6.0,0.0039,0.0862,0.0823
sigma-2,mglcs_2_100_2_8.txt,10,h4,72.0,72.0,0.0,0.0051,0.1351,0.13
sigma-2,mglcs_2_100_2_8.txt,10,h5,69.0,23.0,-46.0,0.008,0.163,0.155
sigma-2,mglcs_2_100_2_8.txt,10,h6,74.0,71.0,-3.0,0.0049,0.1768,0.17190000000000003
sigma-2,mglcs_2_100_2_8.txt,10,h7,69.0,22.0,-47.0,0.004,0.0845,0.0805
sigma-2,mglcs_2_100_2_9.txt,10,h1,30.0,61.0,31.0,0.0022,0.1619,0.15969999999999998
sigma-2,mglcs_2_100_2_9.txt,10,h2,30.0,30.0,0.0,0.0029,0.2727,0.2698
sigma-2,mglcs_2_100_2_9.txt,10,h3,46.0,61.0,15.0,0.0053,0.38,0.3747
sigma-2,mglcs_2_100_2_9.txt,10,h4,59.0,61.0,2.0,0.0067,0.3274,0.32070000000000004
sigma-2,mglcs_2_100_2_9.txt,10,h5,30.0,30.0,0.0,0.007,0.3179,0.3109
sigma-2,mglcs_2_100_2_9.txt,10,h6,29.0,30.0,1.0,0.0038,0.2655,0.2617
sigma-2,mglcs_2_100_2_9.txt,10,h7,30.0,30.0,0.0,0.0045,0.2875,0.283
sigma-2,mglcs_2_200_2_0.txt,10,h1,89.0,90.0,1.0,0.0273,1.4852,1.4579
sigma-2,mglcs_2_200_2_0.txt,10,h2,43.0,84.0,41.0,0.0114,0.9324,0.921
sigma-2,mglcs_2_200_2_0.txt,10,h3,88.0,92.0,4.0,0.0226,2.0906,2.0679999999999996
sigma-2,mglcs_2_200_2_0.txt,10,h4,89.0,89.0,0.0,0.0314,1.6206,1.5892
sigma-2,mglcs_2_200_2_0.txt,10,h5,93.0,93.0,0.0,0.0481,2.5492,2.5011
sigma-2,mglcs_2_200_2_0.txt,10,h6,93.0,93.0,0.0,0.0246,1.2547,1.2301
sigma-2,mglcs_2_200_2_0.txt,10,h7,85.0,87.0,2.0,0.023,0.9392,0.9162
sigma-2,mglcs_2_200_2_1.txt,10,h1,37.0,106.0,69.0,0.0112,1.3669,1.3557
sigma-2,mglcs_2_200_2_1.txt,10,h2,36.0,35.0,-1.0,0.0108,0.2386,0.2278
sigma-2,mglcs_2_200_2_1.txt,10,h3,88.0,106.0,18.0,0.0284,0.8171,0.7887000000000001
sigma-2,mglcs_2_200_2_1.txt,10,h4,82.0,109.0,27.0,0.0307,1.4083,1.3776000000000002
sigma-2,mglcs_2_200_2_1.txt,10,h5,113.0,113.0,0.0,0.0427,3.555,3.5123
sigma-2,mglcs_2_200_2_1.txt,10,h6,87.0,90.0,3.0,0.0252,1.4334,1.4082
sigma-2,mglcs_2_200_2_1.txt,10,h7,36.0,35.0,-1.0,0.0111,0.2211,0.21
sigma-2,mglcs_2_200_2_2.txt,10,h1,24.0,24.0,0.0,0.0025,0.2218,0.2193
sigma-2,mglcs_2_200_2_2.txt,10,h2,24.0,8.0,-16.0,0.0026,0.1172,0.1146
sigma-2,mglcs_2_200_2_2.txt,10,h3,24.0,24.0,0.0,0.0026,0.274,0.27140000000000003
sigma-2,mglcs_2_200_2_2.txt,10,h4,24.0,24.0,0.0,0.0027,0.2446,0.2419
sigma-2,mglcs_2_200_2_2.txt,10,h5,24.0,18.0,-6.0,0.0044,0.2084,0.20400000000000001
sigma-2,mglcs_2_200_2_2.txt,10,h6,24.0,18.0,-6.0,0.0026,0.1348,0.1322
sigma-2,mglcs_2_200_2_2.txt,10,h7,24.0,8.0,-16.0,0.0028,0.1143,0.1115
sigma-2,mglcs_2_200_2_3.txt,10,h1,137.0,130.0,-7.0,0.0394,1.2278,1.1884
sigma-2,mglcs_2_200_2_3.txt,10,h2,43.0,43.0,0.0,0.0126,0.308,0.2954
sigma-2,mglcs_2_200_2_3.txt,10,h3,39.0,134.0,95.0,0.0102,0.7729,0.7627
sigma-2,mglcs_2_200_2_3.txt,10,h4,45.0,132.0,87.0,0.0124,1.2123,1.1999
sigma-2,mglcs_2_200_2_3.txt,10,h5,43.0,43.0,0.0,0.0251,1.9128,1.8877000000000002
sigma-2,mglcs_2_200_2_3.txt,10,h6,41.0,43.0,2.0,0.0081,0.693,0.6849
sigma-2,mglcs_2_200_2_3.txt,10,h7,43.0,43.0,0.0,0.0086,0.1937,0.18510000000000001
sigma-2,mglcs_2_200_2_4.txt,10,h1,92.0,152.0,60.0,0.0202,1.8488,1.8286
sigma-2,mglcs_2_200_2_4.txt,10,h2,159.0,159.0,0.0,0.0332,0.8796,0.8464
sigma-2,mglcs_2_200_2_4.txt,10,h3,87.0,148.0,61.0,0.019,1.8046,1.7856
sigma-2,mglcs_2_200_2_4.txt,10,h4,106.0,148.0,42.0,0.0319,3.0347,3.0028
sigma-2,mglcs_2_200_2_4.txt,10,h5,159.0,160.0,1.0,0.0903,5.5514,5.4611
sigma-2,mglcs_2_200_2_4.txt,10,h6,156.0,158.0,2.0,0.0448,2.4473,2.4025
sigma-2,mglcs_2_200_2_4.txt,10,h7,77.0,158.0,81.0,0.0309,1.0601,1.0292000000000001
sigma-2,mglcs_2_200_2_5.txt,10,h1,6.0,6.0,0.0,0.0006,0.0787,0.0781
sigma-2,mglcs_2_200_2_5.txt,10,h2,6.0,6.0,0.0,0.0007,0.0738,0.0731
sigma-2,mglcs_2_200_2_5.txt,10,h3,6.0,6.0,0.0,0.0007,0.0755,0.07479999999999999
sigma-2,mglcs_2_200_2_5.txt,10,h4,6.0,6.0,0.0,0.0008,0.0823,0.0815
sigma-2,mglcs_2_200_2_5.txt,10,h5,6.0,6.0,0.0,0.0013,0.1169,0.11560000000000001
sigma-2,mglcs_2_200_2_5.txt,10,h6,6.0,6.0,0.0,0.0006,0.0794,0.0788
sigma-2,mglcs_2_200_2_5.txt,10,h7,6.0,6.0,0.0,0.0007,0.0703,0.0696
sigma-2,mglcs_2_200_2_6.txt,10,h1,134.0,137.0,3.0,0.0289,0.9124,0.8835
sigma-2,mglcs_2_200_2_6.txt,10,h2,104.0,104.0,0.0,0.0288,1.1696,1.1408
sigma-2,mglcs_2_200_2_6.txt,10,h3,66.0,137.0,71.0,0.0124,0.661,0.6486000000000001
sigma-2,mglcs_2_200_2_6.txt,10,h4,129.0,137.0,8.0,0.0322,0.5191,0.4869
sigma-2,mglcs_2_200_2_6.txt,10,h5,104.0,103.0,-1.0,0.0502,1.2263,1.1761
sigma-2,mglcs_2_200_2_6.txt,10,h6,67.0,140.0,73.0,0.0142,0.6306,0.6164000000000001
sigma-2,mglcs_2_200_2_6.txt,10,h7,104.0,104.0,0.0,0.0314,1.2477,1.2163
sigma-2,mglcs_2_200_2_7.txt,10,h1,18.0,148.0,130.0,0.0046,0.6507,0.6460999999999999
sigma-2,mglcs_2_200_2_7.txt,10,h2,17.0,17.0,0.0,0.0048,0.5158,0.511
sigma-2,mglcs_2_200_2_7.txt,10,h3,18.0,144.0,126.0,0.0045,0.5687,0.5642
sigma-2,mglcs_2_200_2_7.txt,10,h4,18.0,148.0,130.0,0.0049,0.7917,0.7867999999999999
sigma-2,mglcs_2_200_2_7.txt,10,h5,18.0,155.0,137.0,0.009,1.8078,1.7988000000000002
sigma-2,mglcs_2_200_2_7.txt,10,h6,18.0,93.0,75.0,0.0047,0.6886,0.6839
sigma-2,mglcs_2_200_2_7.txt,10,h7,17.0,17.0,0.0,0.0051,0.5376,0.5325
sigma-2,mglcs_2_200_2_8.txt,10,h1,128.0,133.0,5.0,0.041,2.3925,2.3515
sigma-2,mglcs_2_200_2_8.txt,10,h2,76.0,76.0,0.0,0.028,2.3899,2.3619
sigma-2,mglcs_2_200_2_8.txt,10,h3,68.0,131.0,63.0,0.0215,1.9563,1.9347999999999999
sigma-2,mglcs_2_200_2_8.txt,10,h4,128.0,132.0,4.0,0.025,2.4669,2.4419
sigma-2,mglcs_2_200_2_8.txt,10,h5,138.0,138.0,0.0,0.0849,4.592,4.507099999999999
sigma-2,mglcs_2_200_2_8.txt,10,h6,137.0,139.0,2.0,0.0439,2.4197,2.3758000000000004
sigma-2,mglcs_2_200_2_8.txt,10,h7,71.0,76.0,5.0,0.0276,2.2293,2.2016999999999998
sigma-2,mglcs_2_200_2_9.txt,10,h1,12.0,12.0,0.0,0.0015,0.1635,0.162
sigma-2,mglcs_2_200_2_9.txt,10,h2,12.0,12.0,0.0,0.0015,0.1851,0.18359999999999999
sigma-2,mglcs_2_200_2_9.txt,10,h3,12.0,12.0,0.0,0.0016,0.1568,0.1552
sigma-2,mglcs_2_200_2_9.txt,10,h4,12.0,12.0,0.0,0.0015,0.1726,0.1711
sigma-2,mglcs_2_200_2_9.txt,10,h5,12.0,12.0,0.0,0.0025,0.2635,0.261
sigma-2,mglcs_2_200_2_9.txt,10,h6,12.0,12.0,0.0,0.0015,0.1655,0.164
sigma-2,mglcs_2_200_2_9.txt,10,h7,12.0,12.0,0.0,0.0016,0.1879,0.18630000000000002
sigma-2,mglcs_2_50_2_0.txt,10,h1,24.0,24.0,0.0,0.0006,0.0693,0.0687
sigma-2,mglcs_2_50_2_0.txt,10,h2,24.0,24.0,0.0,0.0008,0.0444,0.0436
sigma-2,mglcs_2_50_2_0.txt,10,h3,24.0,24.0,0.0,0.0009,0.0777,0.07680000000000001
sigma-2,mglcs_2_50_2_0.txt,10,h4,24.0,24.0,0.0,0.001,0.0749,0.0739
sigma-2,mglcs_2_50_2_0.txt,10,h5,24.0,24.0,0.0,0.0013,0.0823,0.081
sigma-2,mglcs_2_50_2_0.txt,10,h6,24.0,24.0,0.0,0.0007,0.0811,0.0804
sigma-2,mglcs_2_50_2_0.txt,10,h7,24.0,10.0,-14.0,0.0007,0.0525,0.0518
sigma-2,mglcs_2_50_2_1.txt,10,h1,33.0,34.0,1.0,0.0027,0.2098,0.20709999999999998
sigma-2,mglcs_2_50_2_1.txt,10,h2,34.0,34.0,0.0,0.0029,0.0152,0.0123
sigma-2,mglcs_2_50_2_1.txt,10,h3,34.0,33.0,-1.0,0.004,0.1292,0.1252
sigma-2,mglcs_2_50_2_1.txt,10,h4,33.0,36.0,3.0,0.0031,0.3545,0.3514
sigma-2,mglcs_2_50_2_1.txt,10,h5,34.0,34.0,0.0,0.0088,0.6847,0.6759
sigma-2,mglcs_2_50_2_1.txt,10,h6,34.0,34.0,0.0,0.0044,0.3602,0.3558
sigma-2,mglcs_2_50_2_1.txt,10,h7,34.0,34.0,0.0,0.0047,0.0526,0.0479
sigma-2,mglcs_2_50_2_2.txt,10,h1,34.0,36.0,2.0,0.0034,0.3607,0.3573
sigma-2,mglcs_2_50_2_2.txt,10,h2,21.0,36.0,15.0,0.0031,0.3507,0.3476
sigma-2,mglcs_2_50_2_2.txt,10,h3,34.0,36.0,2.0,0.0035,0.3353,0.3318
sigma-2,mglcs_2_50_2_2.txt,10,h4,35.0,36.0,1.0,0.0044,0.4366,0.4322
sigma-2,mglcs_2_50_2_2.txt,10,h5,36.0,36.0,0.0,0.007,0.7286,0.7216
sigma-2,mglcs_2_50_2_2.txt,10,h6,36.0,36.0,0.0,0.0038,0.4031,0.3993
sigma-2,mglcs_2_50_2_2.txt,10,h7,36.0,21.0,-15.0,0.0035,0.3581,0.35459999999999997
sigma-2,mglcs_2_50_2_3.txt,10,h1,34.0,38.0,4.0,0.0025,0.1982,0.19569999999999999
sigma-2,mglcs_2_50_2_3.txt,10,h2,38.0,18.0,-20.0,0.0033,0.1523,0.149
sigma-2,mglcs_2_50_2_3.txt,10,h3,38.0,37.0,-1.0,0.0032,0.2054,0.2022
sigma-2,mglcs_2_50_2_3.txt,10,h4,34.0,38.0,4.0,0.0029,0.341,0.3381
sigma-2,mglcs_2_50_2_3.txt,10,h5,38.0,38.0,0.0,0.0064,0.5013,0.49489999999999995
sigma-2,mglcs_2_50_2_3.txt,10,h6,36.0,38.0,2.0,0.0028,0.155,0.1522
sigma-2,mglcs_2_50_2_3.txt,10,h7,38.0,18.0,-20.0,0.0035,0.1351,0.1316
sigma-2,mglcs_2_50_2_4.txt,10,h1,37.0,37.0,0.0,0.0019,0.1662,0.16429999999999997
sigma-2,mglcs_2_50_2_4.txt,10,h2,37.0,22.0,-15.0,0.0021,0.0712,0.0691
sigma-2,mglcs_2_50_2_4.txt,10,h3,37.0,37.0,0.0,0.002,0.2373,0.2353
sigma-2,mglcs_2_50_2_4.txt,10,h4,37.0,37.0,0.0,0.0021,0.2207,0.21860000000000002
sigma-2,mglcs_2_50_2_4.txt,10,h5,37.0,22.0,-15.0,0.0037,0.3063,0.30260000000000004
sigma-2,mglcs_2_50_2_4.txt,10,h6,37.0,37.0,0.0,0.0019,0.1651,0.16319999999999998
sigma-2,mglcs_2_50_2_4.txt,10,h7,37.0,21.0,-16.0,0.0023,0.0733,0.07100000000000001
sigma-2,mglcs_2_50_2_5.txt,10,h1,35.0,36.0,1.0,0.0031,0.1517,0.1486
sigma-2,mglcs_2_50_2_5.txt,10,h2,36.0,8.0,-28.0,0.0038,0.0845,0.08070000000000001
sigma-2,mglcs_2_50_2_5.txt,10,h3,35.0,36.0,1.0,0.0032,0.1633,0.1601
sigma-2,mglcs_2_50_2_5.txt,10,h4,35.0,36.0,1.0,0.0038,0.2017,0.1979
sigma-2,mglcs_2_50_2_5.txt,10,h5,36.0,36.0,0.0,0.0069,0.1477,0.1408
sigma-2,mglcs_2_50_2_5.txt,10,h6,35.0,36.0,1.0,0.0033,0.1063,0.10300000000000001
sigma-2,mglcs_2_50_2_5.txt,10,h7,36.0,8.0,-28.0,0.0039,0.0889,0.085
sigma-2,mglcs_2_50_2_6.txt,10,h1,38.0,38.0,0.0,0.0035,0.2946,0.29109999999999997
sigma-2,mglcs_2_50_2_6.txt,10,h2,38.0,37.0,-1.0,0.0036,0.2137,0.2101
sigma-2,mglcs_2_50_2_6.txt,10,h3,37.0,38.0,1.0,0.0032,0.3507,0.34750000000000003
sigma-2,mglcs_2_50_2_6.txt,10,h4,38.0,38.0,0.0,0.0036,0.2712,0.2676
sigma-2,mglcs_2_50_2_6.txt,10,h5,38.0,38.0,0.0,0.006,0.4552,0.4492
sigma-2,mglcs_2_50_2_6.txt,10,h6,38.0,38.0,0.0,0.0034,0.2273,0.22390000000000002
sigma-2,mglcs_2_50_2_6.txt,10,h7,38.0,37.0,-1.0,0.0039,0.2171,0.2132
sigma-2,mglcs_2_50_2_7.txt,10,h1,38.0,38.0,0.0,0.0033,0.3014,0.2981
sigma-2,mglcs_2_50_2_7.txt,10,h2,26.0,26.0,0.0,0.0019,0.2158,0.21389999999999998
sigma-2,mglcs_2_50_2_7.txt,10,h3,38.0,38.0,0.0,0.0027,0.2182,0.2155
sigma-2,mglcs_2_50_2_7.txt,10,h4,38.0,38.0,0.0,0.0028,0.3083,0.3055
sigma-2,mglcs_2_50_2_7.txt,10,h5,38.0,38.0,0.0,0.0041,0.3031,0.299
sigma-2,mglcs_2_50_2_7.txt,10,h6,38.0,38.0,0.0,0.0022,0.1747,0.1725
sigma-2,mglcs_2_50_2_7.txt,10,h7,26.0,26.0,0.0,0.0015,0.1833,0.1818
sigma-2,mglcs_2_50_2_8.txt,10,h1,15.0,15.0,0.0,0.001,0.1134,0.1124
sigma-2,mglcs_2_50_2_8.txt,10,h2,14.0,14.0,0.0,0.001,0.1397,0.1387
sigma-2,mglcs_2_50_2_8.txt,10,h3,15.0,15.0,0.0,0.001,0.1194,0.1184
sigma-2,mglcs_2_50_2_8.txt,10,h4,15.0,15.0,0.0,0.0012,0.132,0.1308
sigma-2,mglcs_2_50_2_8.txt,10,h5,15.0,15.0,0.0,0.0021,0.2272,0.22510000000000002
sigma-2,mglcs_2_50_2_8.txt,10,h6,15.0,15.0,0.0,0.001,0.1292,0.1282
sigma-2,mglcs_2_50_2_8.txt,10,h7,15.0,14.0,-1.0,0.0012,0.1489,0.1477
sigma-2,mglcs_2_50_2_9.txt,10,h1,37.0,38.0,1.0,0.0024,0.2674,0.265
sigma-2,mglcs_2_50_2_9.txt,10,h2,38.0,38.0,0.0,0.0028,0.1752,0.1724
sigma-2,mglcs_2_50_2_9.txt,10,h3,36.0,38.0,2.0,0.0026,0.2447,0.2421
sigma-2,mglcs_2_50_2_9.txt,10,h4,36.0,38.0,2.0,0.0027,0.3127,0.31
sigma-2,mglcs_2_50_2_9.txt,10,h5,38.0,38.0,0.0,0.0053,0.5177,0.5124000000000001
sigma-2,mglcs_2_50_2_9.txt,10,h6,37.0,38.0,1.0,0.0027,0.2847,0.28200000000000003
sigma-2,mglcs_2_50_2_9.txt,10,h7,38.0,38.0,0.0,0.0028,0.2077,0.2049
sigma-2,mglcs_3_100_2_0.txt,10,h1,5.0,5.0,0.0,0.0002,0.0182,0.018000000000000002
sigma-2,mglcs_3_100_2_0.txt,10,h2,5.0,5.0,0.0,0.0002,0.0177,0.0175
sigma-2,mglcs_3_100_2_0.txt,10,h3,5.0,5.0,0.0,0.0002,0.0307,0.030500000000000003
sigma-2,mglcs_3_100_2_0.txt,10,h4,5.0,5.0,0.0,0.0002,0.0221,0.021900000000000003
sigma-2,mglcs_3_100_2_0.txt,10,h5,5.0,5.0,0.0,0.0005,0.0165,0.016
sigma-2,mglcs_3_100_2_0.txt,10,h6,5.0,5.0,0.0,0.0002,0.0223,0.0221
sigma-2,mglcs_3_100_2_0.txt,10,h7,5.0,5.0,0.0,0.0002,0.0138,0.0136
sigma-2,mglcs_3_100_2_1.txt,10,h1,19.0,21.0,2.0,0.0028,0.286,0.28319999999999995
sigma-2,mglcs_3_100_2_1.txt,10,h2,20.0,9.0,-11.0,0.0031,0.1305,0.1274
sigma-2,mglcs_3_100_2_1.txt,10,h3,20.0,21.0,1.0,0.0032,0.3194,0.31620000000000004
sigma-2,mglcs_3_100_2_1.txt,10,h4,20.0,21.0,1.0,0.0047,0.4473,0.4426
sigma-2,mglcs_3_100_2_1.txt,10,h5,20.0,20.0,0.0,0.0091,0.7288,0.7197
sigma-2,mglcs_3_100_2_1.txt,10,h6,21.0,21.0,0.0,0.005,0.2502,0.24519999999999997
sigma-2,mglcs_3_100_2_1.txt,10,h7,20.0,9.0,-11.0,0.0049,0.1959,0.191
sigma-2,mglcs_3_100_2_2.txt,10,h1,2.0,2.0,0.0,0.0002,0.0198,0.019600000000000003
sigma-2,mglcs_3_100_2_2.txt,10,h2,2.0,2.0,0.0,0.0003,0.0267,0.0264
sigma-2,mglcs_3_100_2_2.txt,10,h3,2.0,2.0,0.0,0.0003,0.0247,0.024399999999999998
sigma-2,mglcs_3_100_2_2.txt,10,h4,2.0,2.0,0.0,0.0003,0.0265,0.026199999999999998
sigma-2,mglcs_3_100_2_2.txt,10,h5,2.0,2.0,0.0,0.0005,0.0352,0.0347
sigma-2,mglcs_3_100_2_2.txt,10,h6,2.0,2.0,0.0,0.0003,0.0234,0.0231
sigma-2,mglcs_3_100_2_2.txt,10,h7,2.0,2.0,0.0,0.0003,0.0248,0.024499999999999997
sigma-2,mglcs_3_100_2_3.txt,10,h1,8.0,8.0,0.0,0.0009,0.1074,0.1065
sigma-2,mglcs_3_100_2_3.txt,10,h2,8.0,8.0,0.0,0.0009,0.1398,0.1389
sigma-2,mglcs_3_100_2_3.txt,10,h3,8.0,8.0,0.0,0.0009,0.1051,0.1042
sigma-2,mglcs_3_100_2_3.txt,10,h4,8.0,8.0,0.0,0.001,0.1211,0.1201
sigma-2,mglcs_3_100_2_3.txt,10,h5,8.0,8.0,0.0,0.0016,0.1888,0.1872
sigma-2,mglcs_3_100_2_3.txt,10,h6,8.0,8.0,0.0,0.0009,0.138,0.1371
sigma-2,mglcs_3_100_2_3.txt,10,h7,8.0,8.0,0.0,0.001,0.1499,0.1489
sigma-2,mglcs_3_100_2_4.txt,10,h1,46.0,48.0,2.0,0.0054,0.4496,0.4442
sigma-2,mglcs_3_100_2_4.txt,10,h2,34.0,44.0,10.0,0.0059,0.68,0.6741
sigma-2,mglcs_3_100_2_4.txt,10,h3,48.0,45.0,-3.0,0.0051,0.4327,0.4276
sigma-2,mglcs_3_100_2_4.txt,10,h4,46.0,48.0,2.0,0.0061,0.5175,0.5114
sigma-2,mglcs_3_100_2_4.txt,10,h5,21.0,21.0,0.0,0.0088,0.9155,0.9067
sigma-2,mglcs_3_100_2_4.txt,10,h6,48.0,46.0,-2.0,0.0052,0.4607,0.4555
sigma-2,mglcs_3_100_2_4.txt,10,h7,46.0,44.0,-2.0,0.0075,0.6102,0.6027
sigma-2,mglcs_3_100_2_5.txt,10,h1,20.0,21.0,1.0,0.0044,0.359,0.35459999999999997
sigma-2,mglcs_3_100_2_5.txt,10,h2,21.0,21.0,0.0,0.005,0.1197,0.1147
sigma-2,mglcs_3_100_2_5.txt,10,h3,18.0,21.0,3.0,0.0042,0.3949,0.3907
sigma-2,mglcs_3_100_2_5.txt,10,h4,20.0,21.0,1.0,0.005,0.3926,0.3876
sigma-2,mglcs_3_100_2_5.txt,10,h5,21.0,21.0,0.0,0.0099,0.331,0.3211
sigma-2,mglcs_3_100_2_5.txt,10,h6,20.0,21.0,1.0,0.0047,0.3842,0.3795
sigma-2,mglcs_3_100_2_5.txt,10,h7,21.0,21.0,0.0,0.0052,0.1041,0.0989
sigma-2,mglcs_3_100_2_6.txt,10,h1,55.0,57.0,2.0,0.0102,0.6612,0.651
sigma-2,mglcs_3_100_2_6.txt,10,h2,57.0,56.0,-1.0,0.0103,0.8482,0.8379
sigma-2,mglcs_3_100_2_6.txt,10,h3,54.0,57.0,3.0,0.0101,0.7347,0.7246
sigma-2,mglcs_3_100_2_6.txt,10,h4,57.0,56.0,-1.0,0.0118,0.833,0.8211999999999999
sigma-2,mglcs_3_100_2_6.txt,10,h5,57.0,46.0,-11.0,0.0188,1.2137,1.1949
sigma-2,mglcs_3_100_2_6.txt,10,h6,27.0,49.0,22.0,0.0059,0.5987,0.5928
sigma-2,mglcs_3_100_2_6.txt,10,h7,28.0,49.0,21.0,0.0062,0.6983,0.6921
sigma-2,mglcs_3_100_2_7.txt,10,h1,2.0,2.0,0.0,0.0002,0.0141,0.0139
sigma-2,mglcs_3_100_2_7.txt,10,h2,2.0,2.0,0.0,0.0002,0.0156,0.015399999999999999
sigma-2,mglcs_3_100_2_7.txt,10,h3,2.0,2.0,0.0,0.0002,0.0164,0.016200000000000003
sigma-2,mglcs_3_100_2_7.txt,10,h4,2.0,2.0,0.0,0.0002,0.0235,0.0233
sigma-2,mglcs_3_100_2_7.txt,10,h5,2.0,2.0,0.0,0.0004,0.0259,0.0255
sigma-2,mglcs_3_100_2_7.txt,10,h6,2.0,2.0,0.0,0.0002,0.0181,0.017900000000000003
sigma-2,mglcs_3_100_2_7.txt,10,h7,2.0,2.0,0.0,0.0003,0.0226,0.022299999999999997
sigma-2,mglcs_3_100_2_8.txt,10,h1,13.0,13.0,0.0,0.0012,0.1218,0.1206
sigma-2,mglcs_3_100_2_8.txt,10,h2,13.0,13.0,0.0,0.0009,0.1067,0.1058
sigma-2,mglcs_3_100_2_8.txt,10,h3,13.0,13.0,0.0,0.0009,0.1034,0.10250000000000001
sigma-2,mglcs_3_100_2_8.txt,10,h4,13.0,13.0,0.0,0.0009,0.113,0.1121
sigma-2,mglcs_3_100_2_8.txt,10,h5,13.0,13.0,0.0,0.0015,0.1694,0.1679
sigma-2,mglcs_3_100_2_8.txt,10,h6,13.0,13.0,0.0,0.0009,0.1103,0.1094
sigma-2,mglcs_3_100_2_8.txt,10,h7,13.0,13.0,0.0,0.0009,0.1145,0.1136
sigma-2,mglcs_3_100_2_9.txt,10,h1,19.0,20.0,1.0,0.0042,0.4538,0.4496
sigma-2,mglcs_3_100_2_9.txt,10,h2,19.0,19.0,0.0,0.0047,0.5289,0.5242
sigma-2,mglcs_3_100_2_9.txt,10,h3,19.0,20.0,1.0,0.0044,0.349,0.34459999999999996
sigma-2,mglcs_3_100_2_9.txt,10,h4,20.0,20.0,0.0,0.0044,0.4288,0.4244
sigma-2,mglcs_3_100_2_9.txt,10,h5,19.0,19.0,0.0,0.0117,0.9024,0.8906999999999999
sigma-2,mglcs_3_100_2_9.txt,10,h6,20.0,20.0,0.0,0.0041,0.3851,0.381
sigma-2,mglcs_3_100_2_9.txt,10,h7,19.0,19.0,0.0,0.0046,0.5021,0.4975
sigma-2,mglcs_3_200_2_0.txt,10,h1,25.0,25.0,0.0,0.0062,0.5457,0.5395
sigma-2,mglcs_3_200_2_0.txt,10,h2,16.0,15.0,-1.0,0.0059,0.4119,0.40599999999999997
sigma-2,mglcs_3_200_2_0.txt,10,h3,25.0,25.0,0.0,0.0061,0.5867,0.5806
sigma-2,mglcs_3_200_2_0.txt,10,h4,16.0,25.0,9.0,0.0059,0.6243,0.6184
sigma-2,mglcs_3_200_2_0.txt,10,h5,25.0,25.0,0.0,0.0165,1.1647,1.1482
sigma-2,mglcs_3_200_2_0.txt,10,h6,25.0,25.0,0.0,0.0099,0.8053,0.7954
sigma-2,mglcs_3_200_2_0.txt,10,h7,25.0,25.0,0.0,0.0064,0.4484,0.442
sigma-2,mglcs_3_200_2_1.txt,10,h1,14.0,14.0,0.0,0.0019,0.1582,0.1563
sigma-2,mglcs_3_200_2_1.txt,10,h2,14.0,5.0,-9.0,0.0017,0.0766,0.07490000000000001
sigma-2,mglcs_3_200_2_1.txt,10,h3,14.0,14.0,0.0,0.0026,0.1155,0.1129
sigma-2,mglcs_3_200_2_1.txt,10,h4,14.0,14.0,0.0,0.0019,0.1919,0.18999999999999997
sigma-2,mglcs_3_200_2_1.txt,10,h5,14.0,14.0,0.0,0.0032,0.1597,0.1565
sigma-2,mglcs_3_200_2_1.txt,10,h6,14.0,14.0,0.0,0.0022,0.191,0.1888
