sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,500,h2,4,0.0120,True
sigma-2,mglcs_10_100_2_0.txt,500,h5,6,0.0160,True
sigma-2,mglcs_10_100_2_0.txt,500,h8,6,0.0425,True
sigma-2,mglcs_10_100_2_1.txt,500,h2,3,0.0129,True
sigma-2,mglcs_10_100_2_1.txt,500,h5,3,0.0528,True
sigma-2,mglcs_10_100_2_1.txt,500,h8,3,0.0680,True
sigma-2,mglcs_10_100_2_2.txt,500,h2,6,0.0138,True
sigma-2,mglcs_10_100_2_2.txt,500,h5,6,0.0152,True
sigma-2,mglcs_10_100_2_2.txt,500,h8,6,0.0525,True
sigma-2,mglcs_10_100_2_3.txt,500,h2,4,0.0119,True
sigma-2,mglcs_10_100_2_3.txt,500,h5,4,0.0179,True
sigma-2,mglcs_10_100_2_3.txt,500,h8,4,0.0427,True
sigma-2,mglcs_10_100_2_4.txt,500,h2,5,0.0101,True
sigma-2,mglcs_10_100_2_4.txt,500,h5,5,0.0123,True
sigma-2,mglcs_10_100_2_4.txt,500,h8,5,0.0394,True
sigma-2,mglcs_10_100_2_5.txt,500,h2,5,0.0125,True
sigma-2,mglcs_10_100_2_5.txt,500,h5,5,0.0156,True
sigma-2,mglcs_10_100_2_5.txt,500,h8,5,0.0432,True
sigma-2,mglcs_10_100_2_6.txt,500,h2,3,0.0113,True
sigma-2,mglcs_10_100_2_6.txt,500,h5,3,0.0156,True
sigma-2,mglcs_10_100_2_6.txt,500,h8,3,0.0512,True
sigma-2,mglcs_10_100_2_7.txt,500,h2,4,0.0156,True
sigma-2,mglcs_10_100_2_7.txt,500,h5,4,0.0337,True
sigma-2,mglcs_10_100_2_7.txt,500,h8,4,0.0804,True
sigma-2,mglcs_10_100_2_8.txt,500,h2,3,0.0134,True
sigma-2,mglcs_10_100_2_8.txt,500,h5,3,0.0166,True
sigma-2,mglcs_10_100_2_8.txt,500,h8,3,0.0508,True
sigma-2,mglcs_10_100_2_9.txt,500,h2,4,0.0120,True
sigma-2,mglcs_10_100_2_9.txt,500,h5,4,0.0134,True
sigma-2,mglcs_10_100_2_9.txt,500,h8,4,0.0491,True
sigma-2,mglcs_10_200_2_0.txt,500,h2,4,0.0383,True
sigma-2,mglcs_10_200_2_0.txt,500,h5,4,0.0496,True
sigma-2,mglcs_10_200_2_0.txt,500,h8,4,0.2626,True
sigma-2,mglcs_10_200_2_1.txt,500,h2,5,0.0825,True
sigma-2,mglcs_10_200_2_1.txt,500,h5,4,0.0543,True
sigma-2,mglcs_10_200_2_1.txt,500,h8,4,0.2573,True
sigma-2,mglcs_10_200_2_2.txt,500,h2,5,0.0317,True
sigma-2,mglcs_10_200_2_2.txt,500,h5,5,0.0435,True
sigma-2,mglcs_10_200_2_2.txt,500,h8,5,0.2132,True
sigma-2,mglcs_10_200_2_3.txt,500,h2,5,0.0339,True
sigma-2,mglcs_10_200_2_3.txt,500,h5,4,0.0460,True
sigma-2,mglcs_10_200_2_3.txt,500,h8,4,0.2772,True
sigma-2,mglcs_10_200_2_4.txt,500,h2,6,0.0338,True
sigma-2,mglcs_10_200_2_4.txt,500,h5,6,0.0403,True
sigma-2,mglcs_10_200_2_4.txt,500,h8,6,0.2259,True
sigma-2,mglcs_10_200_2_5.txt,500,h2,7,0.0305,True
sigma-2,mglcs_10_200_2_5.txt,500,h5,5,0.0561,True
sigma-2,mglcs_10_200_2_5.txt,500,h8,7,0.2352,True
sigma-2,mglcs_10_200_2_6.txt,500,h2,9,0.0338,True
sigma-2,mglcs_10_200_2_6.txt,500,h5,7,0.1024,True
sigma-2,mglcs_10_200_2_6.txt,500,h8,7,0.1767,True
sigma-2,mglcs_10_200_2_7.txt,500,h2,4,0.0341,True
sigma-2,mglcs_10_200_2_7.txt,500,h5,4,0.0468,True
sigma-2,mglcs_10_200_2_7.txt,500,h8,4,0.2470,True
sigma-2,mglcs_10_200_2_8.txt,500,h2,7,0.0308,True
sigma-2,mglcs_10_200_2_8.txt,500,h5,5,0.0512,True
sigma-2,mglcs_10_200_2_8.txt,500,h8,7,0.2689,True
sigma-2,mglcs_10_200_2_9.txt,500,h2,6,0.0391,True
sigma-2,mglcs_10_200_2_9.txt,500,h5,4,0.0479,True
sigma-2,mglcs_10_200_2_9.txt,500,h8,4,0.2546,True
sigma-2,mglcs_10_50_2_0.txt,500,h2,4,0.0030,True
sigma-2,mglcs_10_50_2_0.txt,500,h5,4,0.0056,True
sigma-2,mglcs_10_50_2_0.txt,500,h8,4,0.0121,True
sigma-2,mglcs_10_50_2_1.txt,500,h2,3,0.0058,True
sigma-2,mglcs_10_50_2_1.txt,500,h5,3,0.0096,True
sigma-2,mglcs_10_50_2_1.txt,500,h8,3,0.0137,True
sigma-2,mglcs_10_50_2_2.txt,500,h2,3,0.0046,True
sigma-2,mglcs_10_50_2_2.txt,500,h5,3,0.0058,True
sigma-2,mglcs_10_50_2_2.txt,500,h8,3,0.0091,True
sigma-2,mglcs_10_50_2_3.txt,500,h2,6,0.0039,True
sigma-2,mglcs_10_50_2_3.txt,500,h5,6,0.0073,True
sigma-2,mglcs_10_50_2_3.txt,500,h8,6,0.0119,True
sigma-2,mglcs_10_50_2_4.txt,500,h2,3,0.0059,True
sigma-2,mglcs_10_50_2_4.txt,500,h5,3,0.0069,True
sigma-2,mglcs_10_50_2_4.txt,500,h8,3,0.0144,True
sigma-2,mglcs_10_50_2_5.txt,500,h2,5,0.0048,True
sigma-2,mglcs_10_50_2_5.txt,500,h5,4,0.0070,True
sigma-2,mglcs_10_50_2_5.txt,500,h8,5,0.0093,True
sigma-2,mglcs_10_50_2_6.txt,500,h2,4,0.0038,True
sigma-2,mglcs_10_50_2_6.txt,500,h5,4,0.0054,True
sigma-2,mglcs_10_50_2_6.txt,500,h8,4,0.0081,True
sigma-2,mglcs_10_50_2_7.txt,500,h2,3,0.0043,True
sigma-2,mglcs_10_50_2_7.txt,500,h5,3,0.0048,True
sigma-2,mglcs_10_50_2_7.txt,500,h8,3,0.0161,True
sigma-2,mglcs_10_50_2_8.txt,500,h2,3,0.0056,True
sigma-2,mglcs_10_50_2_8.txt,500,h5,3,0.0097,True
sigma-2,mglcs_10_50_2_8.txt,500,h8,3,0.0107,True
sigma-2,mglcs_10_50_2_9.txt,500,h2,5,0.0035,True
sigma-2,mglcs_10_50_2_9.txt,500,h5,5,0.0052,True
sigma-2,mglcs_10_50_2_9.txt,500,h8,5,0.0084,True
sigma-2,mglcs_2_100_2_0.txt,500,h2,71,0.3958,True
sigma-2,mglcs_2_100_2_0.txt,500,h5,71,0.6333,True
sigma-2,mglcs_2_100_2_0.txt,500,h8,65,0.4014,True
sigma-2,mglcs_2_100_2_1.txt,500,h2,33,0.0418,True
sigma-2,mglcs_2_100_2_1.txt,500,h5,33,0.0597,True
sigma-2,mglcs_2_100_2_1.txt,500,h8,33,0.0431,True
sigma-2,mglcs_2_100_2_2.txt,500,h2,70,0.1957,True
sigma-2,mglcs_2_100_2_2.txt,500,h5,70,0.3260,True
sigma-2,mglcs_2_100_2_2.txt,500,h8,66,0.2036,True
sigma-2,mglcs_2_100_2_3.txt,500,h2,78,0.3467,True
sigma-2,mglcs_2_100_2_3.txt,500,h5,78,0.5637,True
sigma-2,mglcs_2_100_2_3.txt,500,h8,69,0.3372,True
sigma-2,mglcs_2_100_2_4.txt,500,h2,52,0.2042,True
sigma-2,mglcs_2_100_2_4.txt,500,h5,52,0.3460,True
sigma-2,mglcs_2_100_2_4.txt,500,h8,44,0.2171,True
sigma-2,mglcs_2_100_2_5.txt,500,h2,62,0.2601,True
sigma-2,mglcs_2_100_2_5.txt,500,h5,62,0.3537,True
sigma-2,mglcs_2_100_2_5.txt,500,h8,60,0.2110,True
sigma-2,mglcs_2_100_2_6.txt,500,h2,73,0.3393,True
sigma-2,mglcs_2_100_2_6.txt,500,h5,74,0.4826,True
sigma-2,mglcs_2_100_2_6.txt,500,h8,66,0.2787,True
sigma-2,mglcs_2_100_2_7.txt,500,h2,55,0.0965,True
sigma-2,mglcs_2_100_2_7.txt,500,h5,55,0.1508,True
sigma-2,mglcs_2_100_2_7.txt,500,h8,52,0.1117,True
sigma-2,mglcs_2_100_2_8.txt,500,h2,74,0.1062,True
sigma-2,mglcs_2_100_2_8.txt,500,h5,74,0.1543,True
sigma-2,mglcs_2_100_2_8.txt,500,h8,71,0.1170,True
sigma-2,mglcs_2_100_2_9.txt,500,h2,62,0.0460,True
sigma-2,mglcs_2_100_2_9.txt,500,h5,62,0.0780,True
sigma-2,mglcs_2_100_2_9.txt,500,h8,62,0.0529,True
sigma-2,mglcs_2_200_2_0.txt,500,h2,87,0.8534,True
sigma-2,mglcs_2_200_2_0.txt,500,h5,87,1.4187,True
sigma-2,mglcs_2_200_2_0.txt,500,h8,88,0.6615,True
sigma-2,mglcs_2_200_2_1.txt,500,h2,113,0.9395,True
sigma-2,mglcs_2_200_2_1.txt,500,h5,113,1.3852,True
sigma-2,mglcs_2_200_2_1.txt,500,h8,111,0.9341,True
sigma-2,mglcs_2_200_2_2.txt,500,h2,96,0.7525,True
sigma-2,mglcs_2_200_2_2.txt,500,h5,96,1.2119,True
sigma-2,mglcs_2_200_2_2.txt,500,h8,91,0.7309,True
sigma-2,mglcs_2_200_2_3.txt,500,h2,86,0.6424,True
sigma-2,mglcs_2_200_2_3.txt,500,h5,98,1.0887,True
sigma-2,mglcs_2_200_2_3.txt,500,h8,133,0.8820,True
sigma-2,mglcs_2_200_2_4.txt,500,h2,158,1.1768,True
sigma-2,mglcs_2_200_2_4.txt,500,h5,159,1.8196,True
sigma-2,mglcs_2_200_2_4.txt,500,h8,142,1.1390,True
sigma-2,mglcs_2_200_2_5.txt,500,h2,103,0.6246,True
sigma-2,mglcs_2_200_2_5.txt,500,h5,103,1.0576,True
sigma-2,mglcs_2_200_2_5.txt,500,h8,98,0.6730,True
sigma-2,mglcs_2_200_2_6.txt,500,h2,104,0.5792,True
sigma-2,mglcs_2_200_2_6.txt,500,h5,143,1.2715,True
sigma-2,mglcs_2_200_2_6.txt,500,h8,100,0.6159,True
sigma-2,mglcs_2_200_2_7.txt,500,h2,154,0.8738,True
sigma-2,mglcs_2_200_2_7.txt,500,h5,155,1.4644,True
sigma-2,mglcs_2_200_2_7.txt,500,h8,145,0.9185,True
sigma-2,mglcs_2_200_2_8.txt,500,h2,76,0.6996,True
sigma-2,mglcs_2_200_2_8.txt,500,h5,138,1.8741,True
sigma-2,mglcs_2_200_2_8.txt,500,h8,69,0.7347,True
sigma-2,mglcs_2_200_2_9.txt,500,h2,86,0.8262,True
sigma-2,mglcs_2_200_2_9.txt,500,h5,92,1.2994,True
sigma-2,mglcs_2_200_2_9.txt,500,h8,100,0.8900,True
sigma-2,mglcs_2_50_2_0.txt,500,h2,24,0.0010,True
