m,n,sigma,index,heuristic,beam_width,length
3,100,2,1,h8,10,29
3,100,2,2,h2,10,26
3,100,2,2,h5,10,26
3,100,2,2,h8,10,25
3,100,2,3,h2,10,36
3,100,2,3,h5,10,36
3,100,2,3,h8,10,33
3,100,2,4,h2,10,34
3,100,2,4,h5,10,36
3,100,2,4,h8,10,21
3,100,2,5,h2,10,30
3,100,2,5,h5,10,27
3,100,2,5,h8,10,30
3,100,2,6,h2,10,57
3,100,2,6,h5,10,57
3,100,2,6,h8,10,41
3,100,2,7,h2,10,35
3,100,2,7,h5,10,24
3,100,2,7,h8,10,22
3,100,2,8,h2,10,26
3,100,2,8,h5,10,24
3,100,2,8,h8,10,24
3,100,2,9,h2,10,26
3,100,2,9,h5,10,26
3,100,2,9,h8,10,30
3,200,2,0,h2,10,65
3,200,2,0,h5,10,48
3,200,2,0,h8,10,66
3,200,2,1,h2,10,62
3,200,2,1,h5,10,51
3,200,2,1,h8,10,70
3,200,2,2,h2,10,50
3,200,2,2,h5,10,42
3,200,2,2,h8,10,33
3,200,2,3,h2,10,40
3,200,2,3,h5,10,42
3,200,2,3,h8,10,39
3,200,2,4,h2,10,46
3,200,2,4,h5,10,46
3,200,2,4,h8,10,77
3,200,2,5,h2,10,27
3,200,2,5,h5,10,31
3,200,2,5,h8,10,27
3,200,2,6,h2,10,27
3,200,2,6,h5,10,27
3,200,2,6,h8,10,31
3,200,2,7,h2,10,22
3,200,2,7,h5,10,24
3,200,2,7,h8,10,26
3,200,2,8,h2,10,26
3,200,2,8,h5,10,27
3,200,2,8,h8,10,50
3,200,2,9,h2,10,47
3,200,2,9,h5,10,74
3,200,2,9,h8,10,42
3,50,2,0,h2,10,30
3,50,2,0,h5,10,30
3,50,2,0,h8,10,27
3,50,2,1,h2,10,17
3,50,2,1,h5,10,16
3,50,2,1,h8,10,17
3,50,2,2,h2,10,25
3,50,2,2,h5,10,32
3,50,2,2,h8,10,32
3,50,2,3,h2,10,21
3,50,2,3,h5,10,21
3,50,2,3,h8,10,19
3,50,2,4,h2,10,26
3,50,2,4,h5,10,26
3,50,2,4,h8,10,28
3,50,2,5,h2,10,16
3,50,2,5,h5,10,16
3,50,2,5,h8,10,16
3,50,2,6,h2,10,30
3,50,2,6,h5,10,30
3,50,2,6,h8,10,27
3,50,2,7,h2,10,19
3,50,2,7,h5,10,19
3,50,2,7,h8,10,19
3,50,2,8,h2,10,22
3,50,2,8,h5,10,24
3,50,2,8,h8,10,21
3,50,2,9,h2,10,16
3,50,2,9,h5,10,16
3,50,2,9,h8,10,11
5,100,2,0,h2,10,11
5,100,2,0,h5,10,11
5,100,2,0,h8,10,12
5,100,2,1,h2,10,19
5,100,2,1,h5,10,19
5,100,2,1,h8,10,19
5,100,2,2,h2,10,12
5,100,2,2,h5,10,12
5,100,2,2,h8,10,12
5,100,2,3,h2,10,25
5,100,2,3,h5,10,26
5,100,2,3,h8,10,19
5,100,2,4,h2,10,11
5,100,2,4,h5,10,11
5,100,2,4,h8,10,11
5,100,2,5,h2,10,10
5,100,2,5,h5,10,10
5,100,2,5,h8,10,10
5,100,2,6,h2,10,13
5,100,2,6,h5,10,13
5,100,2,6,h8,10,13
5,100,2,7,h2,10,15
5,100,2,7,h5,10,10
5,100,2,7,h8,10,15
5,100,2,8,h2,10,12
5,100,2,8,h5,10,11
5,100,2,8,h8,10,12
5,100,2,9,h2,10,14
5,100,2,9,h5,10,14
5,100,2,9,h8,10,14
5,200,2,0,h2,10,23
5,200,2,0,h5,10,17
5,200,2,0,h8,10,23
5,200,2,1,h2,10,19
5,200,2,1,h5,10,19
5,200,2,1,h8,10,17
5,200,2,2,h2,10,32
5,200,2,2,h5,10,32
5,200,2,2,h8,10,32
5,200,2,3,h2,10,19
5,200,2,3,h5,10,19
5,200,2,3,h8,10,18
5,200,2,4,h2,10,15
5,200,2,4,h5,10,24
5,200,2,4,h8,10,16
5,200,2,5,h2,10,18
5,200,2,5,h5,10,19
5,200,2,5,h8,10,17
5,200,2,6,h2,10,18
5,200,2,6,h5,10,17
5,200,2,6,h8,10,17
5,200,2,7,h2,10,23
5,200,2,7,h5,10,20
5,200,2,7,h8,10,20
5,200,2,8,h2,10,13
5,200,2,8,h5,10,13
5,200,2,8,h8,10,13
5,200,2,9,h2,10,21
5,200,2,9,h5,10,11
5,200,2,9,h8,10,20
5,50,2,0,h2,10,10
5,50,2,0,h5,10,10
5,50,2,0,h8,10,10
5,50,2,1,h2,10,16
5,50,2,1,h5,10,16
5,50,2,1,h8,10,18
5,50,2,2,h2,10,7
5,50,2,2,h5,10,7
