m,h2_10_length,h2_100_length,h2_500_length,h5_10_length,h5_100_length,h5_500_length,h8_10_length,h8_100_length,h8_500_length
2,57.6,63.28333333333333,67.21666666666667,64.43333333333334,68.89999999999999,71.36666666666667,55.23333333333333,58.38333333333333,60.81666666666666
3,34.233333333333334,41.416666666666664,43.050000000000004,35.983333333333334,41.666666666666664,43.61666666666667,31.95,36.333333333333336,38.65
5,13.866666666666667,13.916666666666666,13.916666666666666,13.333333333333334,13.6,13.6,12.950000000000001,13.383333333333333,13.383333333333333
10,4.05,4.05,4.05,3.8333333333333335,3.8333333333333335,3.8333333333333335,3.8666666666666667,3.8666666666666667,3.8666666666666667
