sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,100,h2,4,0.0134,True
sigma-2,mglcs_10_100_2_0.txt,100,h5,6,0.0172,True
sigma-2,mglcs_10_100_2_0.txt,100,h8,6,0.0493,True
sigma-2,mglcs_10_100_2_1.txt,100,h2,3,0.0127,True
sigma-2,mglcs_10_100_2_1.txt,100,h5,3,0.0176,True
sigma-2,mglcs_10_100_2_1.txt,100,h8,3,0.0478,True
sigma-2,mglcs_10_100_2_2.txt,100,h2,6,0.0116,True
sigma-2,mglcs_10_100_2_2.txt,100,h5,6,0.0174,True
sigma-2,mglcs_10_100_2_2.txt,100,h8,6,0.0505,True
sigma-2,mglcs_10_100_2_3.txt,100,h2,4,0.0123,True
sigma-2,mglcs_10_100_2_3.txt,100,h5,4,0.0165,True
sigma-2,mglcs_10_100_2_3.txt,100,h8,4,0.0443,True
sigma-2,mglcs_10_100_2_4.txt,100,h2,5,0.0106,True
sigma-2,mglcs_10_100_2_4.txt,100,h5,5,0.0141,True
sigma-2,mglcs_10_100_2_4.txt,100,h8,5,0.0373,True
sigma-2,mglcs_10_100_2_5.txt,100,h2,5,0.0115,True
sigma-2,mglcs_10_100_2_5.txt,100,h5,5,0.0163,True
sigma-2,mglcs_10_100_2_5.txt,100,h8,5,0.0426,True
sigma-2,mglcs_10_100_2_6.txt,100,h2,3,0.0147,True
sigma-2,mglcs_10_100_2_6.txt,100,h5,3,0.0181,True
sigma-2,mglcs_10_100_2_6.txt,100,h8,3,0.0585,True
sigma-2,mglcs_10_100_2_7.txt,100,h2,4,0.0137,True
sigma-2,mglcs_10_100_2_7.txt,100,h5,4,0.0197,True
sigma-2,mglcs_10_100_2_7.txt,100,h8,4,0.0578,True
sigma-2,mglcs_10_100_2_8.txt,100,h2,3,0.0147,True
sigma-2,mglcs_10_100_2_8.txt,100,h5,3,0.0197,True
sigma-2,mglcs_10_100_2_8.txt,100,h8,3,0.0592,True
sigma-2,mglcs_10_100_2_9.txt,100,h2,4,0.0110,True
sigma-2,mglcs_10_100_2_9.txt,100,h5,4,0.0176,True
sigma-2,mglcs_10_100_2_9.txt,100,h8,4,0.0527,True
sigma-2,mglcs_10_200_2_0.txt,100,h2,4,0.0336,True
sigma-2,mglcs_10_200_2_0.txt,100,h5,4,0.0482,True
sigma-2,mglcs_10_200_2_0.txt,100,h8,4,0.3351,True
sigma-2,mglcs_10_200_2_1.txt,100,h2,5,0.0289,True
sigma-2,mglcs_10_200_2_1.txt,100,h5,4,0.0480,True
sigma-2,mglcs_10_200_2_1.txt,100,h8,4,0.2636,True
sigma-2,mglcs_10_200_2_2.txt,100,h2,5,0.0349,True
sigma-2,mglcs_10_200_2_2.txt,100,h5,5,0.0456,True
sigma-2,mglcs_10_200_2_2.txt,100,h8,5,0.2255,True
sigma-2,mglcs_10_200_2_3.txt,100,h2,5,0.0402,True
sigma-2,mglcs_10_200_2_3.txt,100,h5,4,0.0570,True
sigma-2,mglcs_10_200_2_3.txt,100,h8,4,0.2587,True
sigma-2,mglcs_10_200_2_4.txt,100,h2,6,0.0358,True
sigma-2,mglcs_10_200_2_4.txt,100,h5,6,0.0464,True
sigma-2,mglcs_10_200_2_4.txt,100,h8,6,0.2253,True
sigma-2,mglcs_10_200_2_5.txt,100,h2,7,0.0289,True
sigma-2,mglcs_10_200_2_5.txt,100,h5,5,0.0929,True
sigma-2,mglcs_10_200_2_5.txt,100,h8,7,0.2435,True
sigma-2,mglcs_10_200_2_6.txt,100,h2,9,0.0293,True
sigma-2,mglcs_10_200_2_6.txt,100,h5,7,0.0400,True
sigma-2,mglcs_10_200_2_6.txt,100,h8,7,0.2511,True
sigma-2,mglcs_10_200_2_7.txt,100,h2,4,0.0464,True
sigma-2,mglcs_10_200_2_7.txt,100,h5,4,0.0621,True
sigma-2,mglcs_10_200_2_7.txt,100,h8,4,0.2574,True
sigma-2,mglcs_10_200_2_8.txt,100,h2,7,0.0345,True
sigma-2,mglcs_10_200_2_8.txt,100,h5,5,0.0459,True
sigma-2,mglcs_10_200_2_8.txt,100,h8,7,0.2334,True
sigma-2,mglcs_10_200_2_9.txt,100,h2,6,0.0355,True
sigma-2,mglcs_10_200_2_9.txt,100,h5,4,0.0494,True
sigma-2,mglcs_10_200_2_9.txt,100,h8,4,0.3260,True
sigma-2,mglcs_10_50_2_0.txt,100,h2,4,0.0044,True
sigma-2,mglcs_10_50_2_0.txt,100,h5,4,0.0043,True
sigma-2,mglcs_10_50_2_0.txt,100,h8,4,0.0071,True
sigma-2,mglcs_10_50_2_1.txt,100,h2,3,0.0034,True
sigma-2,mglcs_10_50_2_1.txt,100,h5,3,0.0062,True
sigma-2,mglcs_10_50_2_1.txt,100,h8,3,0.0088,True
sigma-2,mglcs_10_50_2_2.txt,100,h2,3,0.0013,True
sigma-2,mglcs_10_50_2_2.txt,100,h5,3,0.0027,True
sigma-2,mglcs_10_50_2_2.txt,100,h8,3,0.0099,True
sigma-2,mglcs_10_50_2_3.txt,100,h2,6,0.0043,True
sigma-2,mglcs_10_50_2_3.txt,100,h5,6,0.0058,True
sigma-2,mglcs_10_50_2_3.txt,100,h8,6,0.0077,True
sigma-2,mglcs_10_50_2_4.txt,100,h2,3,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,100,h5,3,0.0083,True
sigma-2,mglcs_10_50_2_4.txt,100,h8,3,0.0099,True
sigma-2,mglcs_10_50_2_5.txt,100,h2,5,0.0032,True
sigma-2,mglcs_10_50_2_5.txt,100,h5,4,0.0046,True
sigma-2,mglcs_10_50_2_5.txt,100,h8,5,0.0105,True
sigma-2,mglcs_10_50_2_6.txt,100,h2,4,0.0051,True
sigma-2,mglcs_10_50_2_6.txt,100,h5,4,0.0062,True
sigma-2,mglcs_10_50_2_6.txt,100,h8,4,0.0105,True
sigma-2,mglcs_10_50_2_7.txt,100,h2,3,0.0050,True
sigma-2,mglcs_10_50_2_7.txt,100,h5,3,0.0058,True
sigma-2,mglcs_10_50_2_7.txt,100,h8,3,0.0108,True
sigma-2,mglcs_10_50_2_8.txt,100,h2,3,0.0047,True
sigma-2,mglcs_10_50_2_8.txt,100,h5,3,0.0049,True
sigma-2,mglcs_10_50_2_8.txt,100,h8,3,0.0102,True
sigma-2,mglcs_10_50_2_9.txt,100,h2,5,0.0027,True
sigma-2,mglcs_10_50_2_9.txt,100,h5,5,0.0073,True
