sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_9.txt,500,h6,4,0.0072,True
sigma-2,mglcs_10_100_2_9.txt,500,h7,4,0.0079,True
sigma-2,mglcs_10_100_2_9.txt,500,h8,4,0.0449,True
sigma-2,mglcs_10_200_2_0.txt,500,h1,6,0.0264,True
sigma-2,mglcs_10_200_2_0.txt,500,h2,4,0.0276,True
sigma-2,mglcs_10_200_2_0.txt,500,h3,6,0.0275,True
sigma-2,mglcs_10_200_2_0.txt,500,h4,4,0.0282,True
sigma-2,mglcs_10_200_2_0.txt,500,h5,4,0.0375,True
sigma-2,mglcs_10_200_2_0.txt,500,h6,4,0.0271,True
sigma-2,mglcs_10_200_2_0.txt,500,h7,4,0.0279,True
sigma-2,mglcs_10_200_2_0.txt,500,h8,4,0.2904,True
sigma-2,mglcs_10_200_2_1.txt,500,h1,4,0.0276,True
sigma-2,mglcs_10_200_2_1.txt,500,h2,5,0.0273,True
sigma-2,mglcs_10_200_2_1.txt,500,h3,4,0.0285,True
sigma-2,mglcs_10_200_2_1.txt,500,h4,4,0.0259,True
sigma-2,mglcs_10_200_2_1.txt,500,h5,4,0.0358,True
sigma-2,mglcs_10_200_2_1.txt,500,h6,4,0.0299,True
sigma-2,mglcs_10_200_2_1.txt,500,h7,5,0.0310,True
sigma-2,mglcs_10_200_2_1.txt,500,h8,4,0.2963,True
sigma-2,mglcs_10_200_2_2.txt,500,h1,6,0.0261,True
sigma-2,mglcs_10_200_2_2.txt,500,h2,5,0.0253,True
sigma-2,mglcs_10_200_2_2.txt,500,h3,6,0.0266,True
sigma-2,mglcs_10_200_2_2.txt,500,h4,4,0.0266,True
sigma-2,mglcs_10_200_2_2.txt,500,h5,5,0.0358,True
sigma-2,mglcs_10_200_2_2.txt,500,h6,6,0.0323,True
sigma-2,mglcs_10_200_2_2.txt,500,h7,5,0.0272,True
sigma-2,mglcs_10_200_2_2.txt,500,h8,5,0.2238,True
sigma-2,mglcs_10_200_2_3.txt,500,h1,4,0.0285,True
sigma-2,mglcs_10_200_2_3.txt,500,h2,5,0.0301,True
sigma-2,mglcs_10_200_2_3.txt,500,h3,4,0.0273,True
sigma-2,mglcs_10_200_2_3.txt,500,h4,4,0.0272,True
sigma-2,mglcs_10_200_2_3.txt,500,h5,4,0.0395,True
sigma-2,mglcs_10_200_2_3.txt,500,h6,4,0.0255,True
sigma-2,mglcs_10_200_2_3.txt,500,h7,5,0.0263,True
sigma-2,mglcs_10_200_2_3.txt,500,h8,4,0.2771,True
sigma-2,mglcs_10_200_2_4.txt,500,h1,6,0.0268,True
sigma-2,mglcs_10_200_2_4.txt,500,h2,6,0.0270,True
sigma-2,mglcs_10_200_2_4.txt,500,h3,6,0.0267,True
sigma-2,mglcs_10_200_2_4.txt,500,h4,6,0.0278,True
sigma-2,mglcs_10_200_2_4.txt,500,h5,6,0.0373,True
sigma-2,mglcs_10_200_2_4.txt,500,h6,6,0.0292,True
sigma-2,mglcs_10_200_2_4.txt,500,h7,6,0.0308,True
sigma-2,mglcs_10_200_2_4.txt,500,h8,6,0.2532,True
sigma-2,mglcs_10_200_2_5.txt,500,h1,7,0.0307,True
sigma-2,mglcs_10_200_2_5.txt,500,h2,7,0.0351,True
sigma-2,mglcs_10_200_2_5.txt,500,h3,7,0.0291,True
sigma-2,mglcs_10_200_2_5.txt,500,h4,7,0.0279,True
sigma-2,mglcs_10_200_2_5.txt,500,h5,5,0.0390,True
sigma-2,mglcs_10_200_2_5.txt,500,h6,7,0.0267,True
sigma-2,mglcs_10_200_2_5.txt,500,h7,7,0.0295,True
sigma-2,mglcs_10_200_2_5.txt,500,h8,7,0.2751,True
sigma-2,mglcs_10_200_2_6.txt,500,h1,9,0.0261,True
sigma-2,mglcs_10_200_2_6.txt,500,h2,9,0.0269,True
sigma-2,mglcs_10_200_2_6.txt,500,h3,9,0.0262,True
sigma-2,mglcs_10_200_2_6.txt,500,h4,9,0.0286,True
sigma-2,mglcs_10_200_2_6.txt,500,h5,7,0.0336,True
sigma-2,mglcs_10_200_2_6.txt,500,h6,7,0.0227,True
sigma-2,mglcs_10_200_2_6.txt,500,h7,9,0.0245,True
sigma-2,mglcs_10_200_2_6.txt,500,h8,7,0.1851,True
sigma-2,mglcs_10_200_2_7.txt,500,h1,5,0.0255,True
sigma-2,mglcs_10_200_2_7.txt,500,h2,4,0.0260,True
sigma-2,mglcs_10_200_2_7.txt,500,h3,5,0.0268,True
sigma-2,mglcs_10_200_2_7.txt,500,h4,5,0.0287,True
sigma-2,mglcs_10_200_2_7.txt,500,h5,4,0.0386,True
sigma-2,mglcs_10_200_2_7.txt,500,h6,8,0.0323,True
sigma-2,mglcs_10_200_2_7.txt,500,h7,8,0.0306,True
sigma-2,mglcs_10_200_2_7.txt,500,h8,4,0.2582,True
sigma-2,mglcs_10_200_2_8.txt,500,h1,5,0.0268,True
sigma-2,mglcs_10_200_2_8.txt,500,h2,7,0.0272,True
sigma-2,mglcs_10_200_2_8.txt,500,h3,5,0.0262,True
