sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_0.txt,2000,h9,6,0.0479,True
sigma-2,mglcs_10_100_2_1.txt,2000,h9,3,0.0442,True
sigma-2,mglcs_10_100_2_2.txt,2000,h9,6,0.0444,True
sigma-2,mglcs_10_100_2_3.txt,2000,h9,4,0.0408,True
sigma-2,mglcs_10_100_2_4.txt,2000,h9,5,0.0353,True
sigma-2,mglcs_10_100_2_5.txt,2000,h9,5,0.0398,True
sigma-2,mglcs_10_100_2_6.txt,2000,h9,3,0.0500,True
sigma-2,mglcs_10_100_2_7.txt,2000,h9,4,0.0503,True
sigma-2,mglcs_10_100_2_8.txt,2000,h9,3,0.0498,True
sigma-2,mglcs_10_100_2_9.txt,2000,h9,4,0.0464,True
sigma-2,mglcs_10_200_2_0.txt,2000,h9,4,0.2923,True
sigma-2,mglcs_10_200_2_1.txt,2000,h9,4,0.2981,True
sigma-2,mglcs_10_200_2_2.txt,2000,h9,5,0.2369,True
sigma-2,mglcs_10_200_2_3.txt,2000,h9,4,0.2966,True
sigma-2,mglcs_10_200_2_4.txt,2000,h9,6,0.2643,True
sigma-2,mglcs_10_200_2_5.txt,2000,h9,7,0.3091,True
sigma-2,mglcs_10_200_2_6.txt,2000,h9,7,0.2363,True
sigma-2,mglcs_10_200_2_7.txt,2000,h9,4,0.3192,True
sigma-2,mglcs_10_200_2_8.txt,2000,h9,7,0.2915,True
sigma-2,mglcs_10_200_2_9.txt,2000,h9,4,0.2916,True
sigma-2,mglcs_10_50_2_0.txt,2000,h9,4,0.0064,True
sigma-2,mglcs_10_50_2_1.txt,2000,h9,3,0.0077,True
sigma-2,mglcs_10_50_2_2.txt,2000,h9,3,0.0064,True
sigma-2,mglcs_10_50_2_3.txt,2000,h9,6,0.0080,True
sigma-2,mglcs_10_50_2_4.txt,2000,h9,3,0.0084,True
sigma-2,mglcs_10_50_2_5.txt,2000,h9,5,0.0073,True
sigma-2,mglcs_10_50_2_6.txt,2000,h9,4,0.0067,True
sigma-2,mglcs_10_50_2_7.txt,2000,h9,3,0.0073,True
sigma-2,mglcs_10_50_2_8.txt,2000,h9,3,0.0083,True
sigma-2,mglcs_10_50_2_9.txt,2000,h9,5,0.0064,True
sigma-2,mglcs_2_100_2_0.txt,2000,h9,65,1.3509,True
sigma-2,mglcs_2_100_2_1.txt,2000,h9,33,0.0422,True
sigma-2,mglcs_2_100_2_2.txt,2000,h9,69,0.3777,True
sigma-2,mglcs_2_100_2_3.txt,2000,h9,67,0.6604,True
sigma-2,mglcs_2_100_2_4.txt,2000,h9,44,0.4219,True
sigma-2,mglcs_2_100_2_5.txt,2000,h9,66,0.6884,True
sigma-2,mglcs_2_100_2_6.txt,2000,h9,67,1.1180,True
sigma-2,mglcs_2_100_2_7.txt,2000,h9,55,0.1678,True
sigma-2,mglcs_2_100_2_8.txt,2000,h9,72,0.2995,True
sigma-2,mglcs_2_100_2_9.txt,2000,h9,62,0.0662,True
sigma-2,mglcs_2_200_2_0.txt,2000,h9,83,3.1196,True
sigma-2,mglcs_2_200_2_1.txt,2000,h9,107,4.4345,True
sigma-2,mglcs_2_200_2_2.txt,2000,h9,48,2.7201,True
sigma-2,mglcs_2_200_2_3.txt,2000,h9,134,4.2610,True
sigma-2,mglcs_2_200_2_4.txt,2000,h9,88,3.6541,True
sigma-2,mglcs_2_200_2_5.txt,2000,h9,95,2.9891,True
sigma-2,mglcs_2_200_2_6.txt,2000,h9,137,5.2448,True
sigma-2,mglcs_2_200_2_7.txt,2000,h9,148,5.5352,True
sigma-2,mglcs_2_200_2_8.txt,2000,h9,68,3.5825,True
sigma-2,mglcs_2_200_2_9.txt,2000,h9,85,4.1944,True
sigma-2,mglcs_2_50_2_0.txt,2000,h9,24,0.0020,True
