sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_200_2_1.txt,10,h2,5,0.024,True
sigma-2,mglcs_10_200_2_1.txt,10,h3,4,0.022,True
sigma-2,mglcs_10_200_2_1.txt,10,h4,4,0.021,True
sigma-2,mglcs_10_200_2_1.txt,10,h5,4,0.0227,True
sigma-2,mglcs_10_200_2_1.txt,10,h6,4,0.0167,True
sigma-2,mglcs_10_200_2_1.txt,10,h7,5,0.02,True
sigma-2,mglcs_10_200_2_1.txt,10,h8,4,0.1468,True
sigma-2,mglcs_10_200_2_2.txt,10,h1,6,0.0172,True
sigma-2,mglcs_10_200_2_2.txt,10,h2,5,0.0172,True
sigma-2,mglcs_10_200_2_2.txt,10,h3,6,0.0175,True
sigma-2,mglcs_10_200_2_2.txt,10,h4,4,0.0155,True
sigma-2,mglcs_10_200_2_2.txt,10,h5,5,0.0217,True
sigma-2,mglcs_10_200_2_2.txt,10,h6,6,0.017,True
sigma-2,mglcs_10_200_2_2.txt,10,h7,5,0.0161,True
sigma-2,mglcs_10_200_2_2.txt,10,h8,5,0.1143,True
sigma-2,mglcs_10_200_2_3.txt,10,h1,4,0.0165,True
sigma-2,mglcs_10_200_2_3.txt,10,h2,5,0.0165,True
sigma-2,mglcs_10_200_2_3.txt,10,h3,4,0.0175,True
sigma-2,mglcs_10_200_2_3.txt,10,h4,4,0.0175,True
sigma-2,mglcs_10_200_2_3.txt,10,h5,4,0.0221,True
sigma-2,mglcs_10_200_2_3.txt,10,h6,4,0.0162,True
sigma-2,mglcs_10_200_2_3.txt,10,h7,5,0.017,True
sigma-2,mglcs_10_200_2_3.txt,10,h8,4,0.1481,True
sigma-2,mglcs_10_200_2_4.txt,10,h1,6,0.0165,True
sigma-2,mglcs_10_200_2_4.txt,10,h2,6,0.017,True
sigma-2,mglcs_10_200_2_4.txt,10,h3,6,0.0165,True
sigma-2,mglcs_10_200_2_4.txt,10,h4,6,0.0164,True
sigma-2,mglcs_10_200_2_4.txt,10,h5,6,0.021,True
sigma-2,mglcs_10_200_2_4.txt,10,h6,6,0.016,True
sigma-2,mglcs_10_200_2_4.txt,10,h7,6,0.017,True
sigma-2,mglcs_10_200_2_4.txt,10,h8,6,0.1262,True
sigma-2,mglcs_10_200_2_5.txt,10,h1,7,0.016,True
sigma-2,mglcs_10_200_2_5.txt,10,h2,7,0.0163,True
sigma-2,mglcs_10_200_2_5.txt,10,h3,7,0.016,True
sigma-2,mglcs_10_200_2_5.txt,10,h4,7,0.0176,True
sigma-2,mglcs_10_200_2_5.txt,10,h5,5,0.0225,True
sigma-2,mglcs_10_200_2_5.txt,10,h6,7,0.0155,True
sigma-2,mglcs_10_200_2_5.txt,10,h7,7,0.017,True
sigma-2,mglcs_10_200_2_5.txt,10,h8,7,0.1338,True
sigma-2,mglcs_10_200_2_6.txt,10,h1,9,0.0146,True
sigma-2,mglcs_10_200_2_6.txt,10,h2,9,0.0156,True
sigma-2,mglcs_10_200_2_6.txt,10,h3,9,0.015,True
sigma-2,mglcs_10_200_2_6.txt,10,h4,9,0.016,True
sigma-2,mglcs_10_200_2_6.txt,10,h5,7,0.021,True
sigma-2,mglcs_10_200_2_6.txt,10,h6,7,0.0141,True
sigma-2,mglcs_10_200_2_6.txt,10,h7,9,0.015,True
sigma-2,mglcs_10_200_2_6.txt,10,h8,7,0.0968,True
sigma-2,mglcs_10_200_2_7.txt,10,h1,5,0.0165,True
sigma-2,mglcs_10_200_2_7.txt,10,h2,4,0.017,True
sigma-2,mglcs_10_200_2_7.txt,10,h3,5,0.0191,True
sigma-2,mglcs_10_200_2_7.txt,10,h4,5,0.0182,True
sigma-2,mglcs_10_200_2_7.txt,10,h5,4,0.0232,True
sigma-2,mglcs_10_200_2_7.txt,10,h6,8,0.016,True
sigma-2,mglcs_10_200_2_7.txt,10,h7,8,0.0177,True
sigma-2,mglcs_10_200_2_7.txt,10,h8,4,0.1409,True
sigma-2,mglcs_10_200_2_8.txt,10,h1,5,0.0165,True
sigma-2,mglcs_10_200_2_8.txt,10,h2,7,0.0165,True
sigma-2,mglcs_10_200_2_8.txt,10,h3,5,0.0196,True
sigma-2,mglcs_10_200_2_8.txt,10,h4,5,0.0237,True
sigma-2,mglcs_10_200_2_8.txt,10,h5,5,0.0256,True
sigma-2,mglcs_10_200_2_8.txt,10,h6,5,0.0198,True
sigma-2,mglcs_10_200_2_8.txt,10,h7,7,0.0253,True
sigma-2,mglcs_10_200_2_8.txt,10,h8,7,0.1505,True
sigma-2,mglcs_10_200_2_9.txt,10,h1,4,0.0206,True
sigma-2,mglcs_10_200_2_9.txt,10,h2,6,0.0205,True
sigma-2,mglcs_10_200_2_9.txt,10,h3,4,0.018,True
sigma-2,mglcs_10_200_2_9.txt,10,h4,4,0.0173,True
sigma-2,mglcs_10_200_2_9.txt,10,h5,4,0.0258,True
sigma-2,mglcs_10_200_2_9.txt,10,h6,4,0.019,True
sigma-2,mglcs_10_200_2_9.txt,10,h7,6,0.0179,True
sigma-2,mglcs_10_200_2_9.txt,10,h8,4,0.1401,True
sigma-2,mglcs_10_50_2_0.txt,10,h1,4,0.002,True
sigma-2,mglcs_10_50_2_0.txt,10,h2,4,0.0025,True
sigma-2,mglcs_10_50_2_0.txt,10,h3,4,0.002,True
sigma-2,mglcs_10_50_2_0.txt,10,h4,4,0.003,True
sigma-2,mglcs_10_50_2_0.txt,10,h5,4,0.002,True
sigma-2,mglcs_10_50_2_0.txt,10,h6,4,0.002,True
sigma-2,mglcs_10_50_2_0.txt,10,h7,4,0.0022,True
sigma-2,mglcs_10_50_2_0.txt,10,h8,4,0.004,True
sigma-2,mglcs_10_50_2_1.txt,10,h1,3,0.002,True
sigma-2,mglcs_10_50_2_1.txt,10,h2,3,0.003,True
sigma-2,mglcs_10_50_2_1.txt,10,h3,3,0.001,True
sigma-2,mglcs_10_50_2_1.txt,10,h4,3,0.0025,True
sigma-2,mglcs_10_50_2_1.txt,10,h5,3,0.0032,True
sigma-2,mglcs_10_50_2_1.txt,10,h6,3,0.002,True
sigma-2,mglcs_10_50_2_1.txt,10,h7,3,0.002,True
sigma-2,mglcs_10_50_2_1.txt,10,h8,3,0.0055,True
sigma-2,mglcs_10_50_2_2.txt,10,h1,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h2,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h3,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h4,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h5,3,0.0025,True
sigma-2,mglcs_10_50_2_2.txt,10,h6,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h7,3,0.002,True
sigma-2,mglcs_10_50_2_2.txt,10,h8,3,0.004,True
sigma-2,mglcs_10_50_2_3.txt,10,h1,6,0.002,True
sigma-2,mglcs_10_50_2_3.txt,10,h2,6,0.0025,True
sigma-2,mglcs_10_50_2_3.txt,10,h3,6,0.002,True
sigma-2,mglcs_10_50_2_3.txt,10,h4,6,0.003,True
sigma-2,mglcs_10_50_2_3.txt,10,h5,6,0.003,True
sigma-2,mglcs_10_50_2_3.txt,10,h6,6,0.0025,True
sigma-2,mglcs_10_50_2_3.txt,10,h7,6,0.002,True
sigma-2,mglcs_10_50_2_3.txt,10,h8,6,0.005,True
sigma-2,mglcs_10_50_2_4.txt,10,h1,3,0.002,True
sigma-2,mglcs_10_50_2_4.txt,10,h2,3,0.003,True
sigma-2,mglcs_10_50_2_4.txt,10,h3,3,0.0011,True
sigma-2,mglcs_10_50_2_4.txt,10,h4,3,0.003,True
sigma-2,mglcs_10_50_2_4.txt,10,h5,3,0.002,True
sigma-2,mglcs_10_50_2_4.txt,10,h6,3,0.002,True
sigma-2,mglcs_10_50_2_4.txt,10,h7,3,0.0034,True
sigma-2,mglcs_10_50_2_4.txt,10,h8,3,0.006,True
sigma-2,mglcs_10_50_2_5.txt,10,h1,4,0.003,True
sigma-2,mglcs_10_50_2_5.txt,10,h2,5,0.002,True
sigma-2,mglcs_10_50_2_5.txt,10,h3,4,0.0015,True
sigma-2,mglcs_10_50_2_5.txt,10,h4,4,0.002,True
sigma-2,mglcs_10_50_2_5.txt,10,h5,4,0.004,True
sigma-2,mglcs_10_50_2_5.txt,10,h6,4,0.001,True
sigma-2,mglcs_10_50_2_5.txt,10,h7,5,0.003,True
sigma-2,mglcs_10_50_2_5.txt,10,h8,5,0.0041,True
sigma-2,mglcs_10_50_2_6.txt,10,h1,4,0.002,True
sigma-2,mglcs_10_50_2_6.txt,10,h2,4,0.002,True
