sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_1000_2_1.txt,250,imbs_glcs,h2,7,0.1810,True
sigma-2,mglcs_10_1000_2_1.txt,500,beam_search_glcs,h2,1,0.0020,True
sigma-2,mglcs_10_1000_2_1.txt,500,imbs_glcs,h2,7,0.1815,True
sigma-2,mglcs_10_1000_2_1.txt,1000,beam_search_glcs,h2,1,0.0020,True
sigma-2,mglcs_10_1000_2_1.txt,1000,imbs_glcs,h2,7,0.1820,True
sigma-2,mglcs_10_1000_2_1.txt,2500,beam_search_glcs,h2,1,0.0020,True
sigma-2,mglcs_10_1000_2_1.txt,2500,imbs_glcs,h2,7,0.1801,True
sigma-2,mglcs_10_1000_2_1.txt,10000,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_1000_2_1.txt,1,beam_search_glcs,h5,1,0.0030,True
sigma-2,mglcs_10_1000_2_1.txt,1,imbs_glcs,h5,3,0.0260,True
sigma-2,mglcs_10_1000_2_1.txt,10,beam_search_glcs,h5,1,0.0040,True
sigma-2,mglcs_10_1000_2_1.txt,10,imbs_glcs,h5,7,0.1990,True
sigma-2,mglcs_10_1000_2_1.txt,50,beam_search_glcs,h5,1,0.0035,True
sigma-2,mglcs_10_1000_2_1.txt,50,imbs_glcs,h5,7,0.1805,True
sigma-2,mglcs_10_1000_2_1.txt,100,beam_search_glcs,h5,1,0.0030,True
sigma-2,mglcs_10_1000_2_1.txt,100,imbs_glcs,h5,7,0.1850,True
sigma-2,mglcs_10_1000_2_1.txt,250,beam_search_glcs,h5,1,0.0030,True
sigma-2,mglcs_10_1000_2_1.txt,250,imbs_glcs,h5,7,0.1789,True
sigma-2,mglcs_10_1000_2_1.txt,500,beam_search_glcs,h5,1,0.0040,True
sigma-2,mglcs_10_1000_2_1.txt,500,imbs_glcs,h5,7,0.1926,True
sigma-2,mglcs_10_1000_2_1.txt,1000,beam_search_glcs,h5,1,0.0044,True
sigma-2,mglcs_10_1000_2_1.txt,1000,imbs_glcs,h5,7,0.1815,True
sigma-2,mglcs_10_1000_2_1.txt,2500,beam_search_glcs,h5,1,0.0040,True
sigma-2,mglcs_10_1000_2_1.txt,2500,imbs_glcs,h5,7,0.1830,True
sigma-2,mglcs_10_1000_2_1.txt,10000,beam_search_glcs,h5,1,0.0040,True
sigma-2,mglcs_10_1000_2_1.txt,1,beam_search_glcs,h8,1,0.1405,True
sigma-2,mglcs_10_1000_2_1.txt,1,imbs_glcs,h8,4,0.1661,True
sigma-2,mglcs_10_1000_2_1.txt,10,beam_search_glcs,h8,1,0.1435,True
sigma-2,mglcs_10_1000_2_1.txt,10,imbs_glcs,h8,7,0.3196,True
sigma-2,mglcs_10_1000_2_1.txt,50,beam_search_glcs,h8,1,0.1410,True
sigma-2,mglcs_10_1000_2_1.txt,50,imbs_glcs,h8,7,0.3186,True
sigma-2,mglcs_10_1000_2_1.txt,100,beam_search_glcs,h8,1,0.1415,True
sigma-2,mglcs_10_1000_2_1.txt,100,imbs_glcs,h8,7,0.3206,True
sigma-2,mglcs_10_1000_2_1.txt,250,beam_search_glcs,h8,1,0.1476,True
sigma-2,mglcs_10_1000_2_1.txt,250,imbs_glcs,h8,7,0.3295,True
sigma-2,mglcs_10_1000_2_1.txt,500,beam_search_glcs,h8,1,0.1490,True
sigma-2,mglcs_10_1000_2_1.txt,500,imbs_glcs,h8,7,0.3325,True
sigma-2,mglcs_10_1000_2_1.txt,1000,beam_search_glcs,h8,1,0.1421,True
sigma-2,mglcs_10_1000_2_1.txt,1000,imbs_glcs,h8,7,0.3306,True
sigma-2,mglcs_10_1000_2_1.txt,2500,beam_search_glcs,h8,1,0.1521,True
sigma-2,mglcs_10_1000_2_1.txt,2500,imbs_glcs,h8,7,0.3186,True
sigma-2,mglcs_10_1000_2_1.txt,10000,beam_search_glcs,h8,1,0.1425,True
sigma-2,mglcs_10_1000_2_2.txt,1,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_1000_2_2.txt,1,imbs_glcs,h2,5,0.0280,True
sigma-2,mglcs_10_1000_2_2.txt,10,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_2.txt,10,imbs_glcs,h2,4,0.1676,True
sigma-2,mglcs_10_1000_2_2.txt,50,beam_search_glcs,h2,2,0.0027,True
sigma-2,mglcs_10_1000_2_2.txt,50,imbs_glcs,h2,4,0.1697,True
sigma-2,mglcs_10_1000_2_2.txt,100,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_2.txt,100,imbs_glcs,h2,4,0.1691,True
sigma-2,mglcs_10_1000_2_2.txt,250,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_2.txt,250,imbs_glcs,h2,4,0.1685,True
sigma-2,mglcs_10_1000_2_2.txt,500,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_2.txt,500,imbs_glcs,h2,4,0.1691,True
sigma-2,mglcs_10_1000_2_2.txt,1000,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_2.txt,1000,imbs_glcs,h2,4,0.1660,True
sigma-2,mglcs_10_1000_2_2.txt,2500,beam_search_glcs,h2,2,0.0030,True
sigma-2,mglcs_10_1000_2_2.txt,2500,imbs_glcs,h2,4,0.1655,True
sigma-2,mglcs_10_1000_2_2.txt,10000,beam_search_glcs,h2,2,0.0021,True
sigma-2,mglcs_10_1000_2_2.txt,1,beam_search_glcs,h5,1,0.0030,True
sigma-2,mglcs_10_1000_2_2.txt,1,imbs_glcs,h5,4,0.0275,True
sigma-2,mglcs_10_1000_2_2.txt,10,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_2.txt,10,imbs_glcs,h5,4,0.1715,True
sigma-2,mglcs_10_1000_2_2.txt,50,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_2.txt,50,imbs_glcs,h5,4,0.1696,True
sigma-2,mglcs_10_1000_2_2.txt,100,beam_search_glcs,h5,2,0.0041,True
sigma-2,mglcs_10_1000_2_2.txt,100,imbs_glcs,h5,4,0.1761,True
sigma-2,mglcs_10_1000_2_2.txt,250,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_2.txt,250,imbs_glcs,h5,4,0.1651,True
sigma-2,mglcs_10_1000_2_2.txt,500,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_2.txt,500,imbs_glcs,h5,4,0.1635,True
sigma-2,mglcs_10_1000_2_2.txt,1000,beam_search_glcs,h5,2,0.0041,True
sigma-2,mglcs_10_1000_2_2.txt,1000,imbs_glcs,h5,4,0.1675,True
sigma-2,mglcs_10_1000_2_2.txt,2500,beam_search_glcs,h5,2,0.0043,True
sigma-2,mglcs_10_1000_2_2.txt,2500,imbs_glcs,h5,4,0.1685,True
sigma-2,mglcs_10_1000_2_2.txt,10000,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_2.txt,1,beam_search_glcs,h8,1,0.1475,True
sigma-2,mglcs_10_1000_2_2.txt,1,imbs_glcs,h8,4,0.1721,True
sigma-2,mglcs_10_1000_2_2.txt,10,beam_search_glcs,h8,2,0.1510,True
sigma-2,mglcs_10_1000_2_2.txt,10,imbs_glcs,h8,4,0.3096,True
sigma-2,mglcs_10_1000_2_2.txt,50,beam_search_glcs,h8,2,0.1415,True
sigma-2,mglcs_10_1000_2_2.txt,50,imbs_glcs,h8,4,0.3196,True
sigma-2,mglcs_10_1000_2_2.txt,100,beam_search_glcs,h8,2,0.1511,True
