sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_50_2_3.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,10,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,10,h3,1,0.0010,True
sigma-2,mglcs_10_50_2_3.txt,10,h4,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,10,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_50_2_3.txt,10,h7,1,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,10,h1,3,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,10,h2,3,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,10,h3,3,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,10,h4,3,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,10,h5,3,0.0000,True
sigma-2,mglcs_10_50_2_4.txt,10,h6,3,0.0010,True
sigma-2,mglcs_10_50_2_4.txt,10,h7,3,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,10,h1,1,0.0010,True
sigma-2,mglcs_10_50_2_5.txt,10,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,10,h4,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,10,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_5.txt,10,h6,1,0.0010,True
sigma-2,mglcs_10_50_2_5.txt,10,h7,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h3,1,0.0010,True
sigma-2,mglcs_10_50_2_6.txt,10,h4,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_50_2_6.txt,10,h7,1,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h1,2,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h2,2,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h3,2,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h4,2,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h5,2,0.0015,True
sigma-2,mglcs_10_50_2_7.txt,10,h6,2,0.0000,True
sigma-2,mglcs_10_50_2_7.txt,10,h7,2,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,10,h1,3,0.0010,True
sigma-2,mglcs_10_50_2_8.txt,10,h2,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,10,h3,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,10,h4,3,0.0010,True
sigma-2,mglcs_10_50_2_8.txt,10,h5,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,10,h6,3,0.0000,True
sigma-2,mglcs_10_50_2_8.txt,10,h7,3,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h1,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h2,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h3,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h4,1,0.0010,True
sigma-2,mglcs_10_50_2_9.txt,10,h5,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h6,1,0.0000,True
sigma-2,mglcs_10_50_2_9.txt,10,h7,1,0.0000,True
sigma-2,mglcs_2_100_2_0.txt,10,h1,64,0.0065,True
sigma-2,mglcs_2_100_2_0.txt,10,h2,66,0.0120,True
sigma-2,mglcs_2_100_2_0.txt,10,h3,63,0.0085,True
sigma-2,mglcs_2_100_2_0.txt,10,h4,58,0.0094,True
sigma-2,mglcs_2_100_2_0.txt,10,h5,71,0.0172,True
sigma-2,mglcs_2_100_2_0.txt,10,h6,70,0.0075,True
sigma-2,mglcs_2_100_2_0.txt,10,h7,69,0.0125,True
sigma-2,mglcs_2_100_2_1.txt,10,h1,17,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,10,h2,17,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,10,h3,17,0.0010,True
sigma-2,mglcs_2_100_2_1.txt,10,h4,17,0.0010,True
sigma-2,mglcs_2_100_2_1.txt,10,h5,17,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,10,h6,17,0.0014,True
sigma-2,mglcs_2_100_2_1.txt,10,h7,17,0.0016,True
sigma-2,mglcs_2_100_2_2.txt,10,h1,66,0.0064,True
sigma-2,mglcs_2_100_2_2.txt,10,h2,42,0.0048,True
sigma-2,mglcs_2_100_2_2.txt,10,h3,67,0.0063,True
sigma-2,mglcs_2_100_2_2.txt,10,h4,64,0.0065,True
sigma-2,mglcs_2_100_2_2.txt,10,h5,42,0.0061,True
sigma-2,mglcs_2_100_2_2.txt,10,h6,70,0.0061,True
sigma-2,mglcs_2_100_2_2.txt,10,h7,70,0.0050,True
sigma-2,mglcs_2_100_2_3.txt,10,h1,72,0.0080,True
sigma-2,mglcs_2_100_2_3.txt,10,h2,35,0.0040,True
sigma-2,mglcs_2_100_2_3.txt,10,h3,30,0.0033,True
sigma-2,mglcs_2_100_2_3.txt,10,h4,72,0.0100,True
sigma-2,mglcs_2_100_2_3.txt,10,h5,35,0.0074,True
sigma-2,mglcs_2_100_2_3.txt,10,h6,76,0.0120,True
sigma-2,mglcs_2_100_2_3.txt,10,h7,36,0.0047,True
sigma-2,mglcs_2_100_2_4.txt,10,h1,24,0.0010,True
sigma-2,mglcs_2_100_2_4.txt,10,h2,24,0.0010,True
sigma-2,mglcs_2_100_2_4.txt,10,h3,24,0.0017,True
sigma-2,mglcs_2_100_2_4.txt,10,h4,24,0.0016,True
sigma-2,mglcs_2_100_2_4.txt,10,h5,24,0.0021,True
sigma-2,mglcs_2_100_2_4.txt,10,h6,24,0.0016,True
sigma-2,mglcs_2_100_2_4.txt,10,h7,24,0.0016,True
sigma-2,mglcs_2_100_2_5.txt,10,h1,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,10,h2,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,10,h3,3,0.0005,True
sigma-2,mglcs_2_100_2_5.txt,10,h4,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,10,h5,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,10,h6,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,10,h7,3,0.0005,True
sigma-2,mglcs_2_100_2_6.txt,10,h1,56,0.0077,True
sigma-2,mglcs_2_100_2_6.txt,10,h2,71,0.0096,True
sigma-2,mglcs_2_100_2_6.txt,10,h3,67,0.0111,True
sigma-2,mglcs_2_100_2_6.txt,10,h4,56,0.0093,True
sigma-2,mglcs_2_100_2_6.txt,10,h5,73,0.0155,True
sigma-2,mglcs_2_100_2_6.txt,10,h6,74,0.0085,True
sigma-2,mglcs_2_100_2_6.txt,10,h7,72,0.0075,True
sigma-2,mglcs_2_100_2_7.txt,10,h1,14,0.0020,True
sigma-2,mglcs_2_100_2_7.txt,10,h2,14,0.0010,True
sigma-2,mglcs_2_100_2_7.txt,10,h3,14,0.0010,True
sigma-2,mglcs_2_100_2_7.txt,10,h4,14,0.0010,True
sigma-2,mglcs_2_100_2_7.txt,10,h5,14,0.0015,True
sigma-2,mglcs_2_100_2_7.txt,10,h6,14,0.0010,True
sigma-2,mglcs_2_100_2_7.txt,10,h7,14,0.0020,True
sigma-2,mglcs_2_100_2_8.txt,10,h1,72,0.0055,True
sigma-2,mglcs_2_100_2_8.txt,10,h2,72,0.0040,True
sigma-2,mglcs_2_100_2_8.txt,10,h3,72,0.0050,True
sigma-2,mglcs_2_100_2_8.txt,10,h4,72,0.0045,True
sigma-2,mglcs_2_100_2_8.txt,10,h5,69,0.0085,True
sigma-2,mglcs_2_100_2_8.txt,10,h6,74,0.0050,True
sigma-2,mglcs_2_100_2_8.txt,10,h7,69,0.0051,True
sigma-2,mglcs_2_100_2_9.txt,10,h1,30,0.0020,True
sigma-2,mglcs_2_100_2_9.txt,10,h2,30,0.0025,True
sigma-2,mglcs_2_100_2_9.txt,10,h3,46,0.0025,True
sigma-2,mglcs_2_100_2_9.txt,10,h4,59,0.0040,True
sigma-2,mglcs_2_100_2_9.txt,10,h5,30,0.0050,True
sigma-2,mglcs_2_100_2_9.txt,10,h6,29,0.0015,True
sigma-2,mglcs_2_100_2_9.txt,10,h7,30,0.0030,True
sigma-2,mglcs_2_200_2_0.txt,10,h1,89,0.0155,True
sigma-2,mglcs_2_200_2_0.txt,10,h2,43,0.0139,True
sigma-2,mglcs_2_200_2_0.txt,10,h3,88,0.0180,True
sigma-2,mglcs_2_200_2_0.txt,10,h4,89,0.0165,True
sigma-2,mglcs_2_200_2_0.txt,10,h5,93,0.0321,True
sigma-2,mglcs_2_200_2_0.txt,10,h6,93,0.0161,True
sigma-2,mglcs_2_200_2_0.txt,10,h7,85,0.0155,True
sigma-2,mglcs_2_200_2_1.txt,10,h1,37,0.0064,True
sigma-2,mglcs_2_200_2_1.txt,10,h2,36,0.0135,True
sigma-2,mglcs_2_200_2_1.txt,10,h3,88,0.0150,True
sigma-2,mglcs_2_200_2_1.txt,10,h4,82,0.0159,True
sigma-2,mglcs_2_200_2_1.txt,10,h5,113,0.0666,True
sigma-2,mglcs_2_200_2_1.txt,10,h6,87,0.0230,True
sigma-2,mglcs_2_200_2_1.txt,10,h7,36,0.0110,True
sigma-2,mglcs_2_200_2_2.txt,10,h1,24,0.0025,True
sigma-2,mglcs_2_200_2_2.txt,10,h2,24,0.0020,True
sigma-2,mglcs_2_200_2_2.txt,10,h3,24,0.0030,True
sigma-2,mglcs_2_200_2_2.txt,10,h4,24,0.0030,True
sigma-2,mglcs_2_200_2_2.txt,10,h5,24,0.0053,True
sigma-2,mglcs_2_200_2_2.txt,10,h6,24,0.0030,True
sigma-2,mglcs_2_200_2_2.txt,10,h7,24,0.0020,True
sigma-2,mglcs_2_200_2_3.txt,10,h1,137,0.0341,True
sigma-2,mglcs_2_200_2_3.txt,10,h2,43,0.0142,True
sigma-2,mglcs_2_200_2_3.txt,10,h3,39,0.0105,True
sigma-2,mglcs_2_200_2_3.txt,10,h4,45,0.0120,True
sigma-2,mglcs_2_200_2_3.txt,10,h5,43,0.0150,True
sigma-2,mglcs_2_200_2_3.txt,10,h6,41,0.0071,True
sigma-2,mglcs_2_200_2_3.txt,10,h7,43,0.0105,True
sigma-2,mglcs_2_200_2_4.txt,10,h1,92,0.0180,True
sigma-2,mglcs_2_200_2_4.txt,10,h2,159,0.0267,True
sigma-2,mglcs_2_200_2_4.txt,10,h3,87,0.0200,True
sigma-2,mglcs_2_200_2_4.txt,10,h4,106,0.0175,True
sigma-2,mglcs_2_200_2_4.txt,10,h5,159,0.0367,True
sigma-2,mglcs_2_200_2_4.txt,10,h6,156,0.0206,True
sigma-2,mglcs_2_200_2_4.txt,10,h7,77,0.0155,True
